西安水庫,2018,澎湖地區,澎湖縣望安鄉,1/2,10.90,13.60,58.85 %
七美水庫,2018,澎湖地區,澎湖縣七美鄉,1/2,18.90,0.27,0.95 %
石門水庫,2018,臺灣北區,桃園市龍潭區、大溪區、復興區,1/3,244.75,19695.90,98.91 %
西勢水庫,2018,臺灣北區,基隆巿暖暖區,1/3,71.18,35.13,80.41 %
新山水庫,2018,臺灣北區,基隆巿安樂區,1/3,85.61,955.50,95.36 %
翡翠水庫,2018,臺灣北區,新北市新店區,1/3,166.60,30431.98,90.7 %
寶山水庫,2018,臺灣北區,新竹縣寶山鄉,1/3,139.16,393.85,73.21 %
寶山第二水庫,2018,臺灣北區,新竹縣寶山鄉,1/3,135.39,1349.82,42.89 %
永和山水庫,2018,臺灣中區,苗栗縣頭份鎮、三灣鄉,1/3,72.81,1314.97,43.85 %
大埔水庫,2018,臺灣中區,新竹縣峨眉鄉,1/3,67.81,345.36,65.17 %
明德水庫,2018,臺灣中區,苗栗縣頭屋鄉,1/3,51.24,256.75,20.12 %
鯉魚潭水庫,2018,臺灣中區,苗栗縣卓蘭鎮大湖鄉,1/3,290.89,7928.44,68.96 %
德基水庫,2018,臺灣中區,臺中市和平區,1/3,1406.08,14291.57,95.28 %
石岡壩,2018,臺灣中區,臺中市石岡區,1/3,272.07,32.17,24.21 %
霧社水庫,2018,臺灣中區,南投縣仁愛鄉,1/3,1004.05,4124.84,94.48 %
日月潭水庫,2018,臺灣中區,南投縣魚池鄉,1/3,748.02,12553.26,97.1 %
仁義潭水庫,2018,臺灣南區,嘉義縣番路鄉,1/3,100.75,1597.22,63.08 %
蘭潭水庫,2018,臺灣南區,嘉義巿,1/3,71.14,611.65,66.07 %
白河水庫,2018,臺灣南區,臺南市白河區,1/3,104.00,65.00,9.41 %
烏山頭水庫,2018,臺灣南區,臺南市六甲區、官田區,1/3,55.47,5420.00,69.24 %
曾文水庫,2018,臺灣南區,嘉義縣大埔鄉,1/3,213.18,24216.00,52.35 %
南化水庫,2018,臺灣南區,臺南市南化區,1/3,174.91,7068.83,74.41 %
鏡面水庫,2018,臺灣南區,臺南市南化區,1/3,140.76,76.19,73.97 %
澄清湖水庫,2018,臺灣南區,高雄市鳥松區,1/3,17.68,250.00,95.08 %
阿公店水庫,2018,臺灣南區,高雄市燕巢區,1/3,35.87,1293.59,80.21 %
鳳山水庫,2018,臺灣南區,高雄市林園區,1/3,44.57,378.94,50.45 %
牡丹水庫,2018,臺灣南區,屏東縣牡丹鄉,1/3,137.36,2047.34,77.52 %
成功水庫,2018,澎湖地區,澎湖縣湖西鄉,1/3,5.46,29.64,24.49 %
興仁水庫,2018,澎湖地區,澎湖縣馬公巿,1/3,6.40,17.50,23.93 %
東衛水庫,2018,澎湖地區,澎湖縣馬公巿,1/3,2.40,0.80,2.3 %
