台灣集團名稱,中港上市公司名稱,項目,董事長,總經理,行業別,台資,上市地點,股票代號,上市年份,幣別,狀態,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,記載欄位,備註,年報網址
大同集團,华映科技,,林俊（中）,陈伟（中）,制造业,,上海,536,,人民幣,OK,230000,230000,23218757,22894537,"20,386,423.28","35,188,561.2","28,343,168.99","51,960,620.25","43,407,980.41","484,142,517.77","10,910,140",,,
,华映科技,,,,,,,,,人民幣,,"131,424,233","67,374,789","3,024,096,792","2,182,537,883","1,822,389,937","5,543,853,869","7,018,186,608","5,433,566,703","4,435,992,658","4,889,052,084","4,517,789,138",,,
金寶電子集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
緯創資通集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
聯電集團,和艦科技（未上市）,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
日月光集團,環旭電子,補助款,陈昌益、张洪本,魏镇炎,制造业,y,上海,601231,2012,人民幣,OK,,7223000,7181000,10968219,20111160.28,13914323.85,16913766.59,19338535.56,46729685.81,21349325.52,35560866.83,64、 其他收益,張虔生是董事,http://www.sse.com.cn/assortment/stock/list/info/announcement/index.shtml?productId=601231
,環旭電子,營收,陈昌益、张洪本,魏镇炎,,y,,,,人民幣,,,10687318287,13707809739,12707589805,13335294596,14272346743,21552222065,27260058959,23983883717,29705684978,33550275008,,,
益航集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
台塑集團,宏昌電子,補助款,林瑞荣,江胜宗,制造业,y,上海,603002,2012,人民幣,OK,,,5527427.86,2658037.11,3570999.12,196257.22,3072500,5395175,1713522.53,269655.18,219371.25,63. 營業外收入,王永慶的兒子,
,宏昌電子,營收,林瑞荣,江胜宗,,y,,,,人民幣,,,,1251366882,1418920672,1230485104,1207385292,1216256763,950913681,909889780.3,1237094652,1803943408,,,
正崴集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
英業達集團,無,,,,,,,,,人民幣,無上市公司,,,,,,,,,,,,,,
台泥集團,台泥國際,,,,,,,,,港幣,已下市,,,,,,,,,56668000（2014）,57046000（2015）,,8. 其他收入、收益及虧損,,http://www3.hkexnews.hk/listedco/listconews/sehk/2016/0405/ltn201604051068.pdf
東元電機集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
台達電子集團,達創科技,,,,,,香港,722,,港幣,已下市,,,,,,,,,,,,,,
國巨集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
宏碁集團,無,,,,,,,,,港幣,無上市公司,,,,,,,,,,,,,,
