台灣集團名稱,中港上市公司名稱,項目,董事長,總經理,行業別,台資,上市地點,股票代號,上市年份,幣別,狀態,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,記載欄位,備註,年報網址
,金鸿顺,補助款,洪建沧,洪建沧,其它行业,y,上海,603922,2017,人民幣,OK,,,,,,,,,,4082282.32,3332328.23,补充资料,汽车车身和底盘冲压零部件及其相关模具的开发、生产与销售。,
,金鸿顺,營收,洪建沧,洪建沧,,y,,,,人民幣,,,,,,,,,854231386,901058760.7,1042442069,1069736469,,,
亞翔,亚翔集成,補助款,姚祖骧,毛智辉,装修装饰业,y,上海,603929,2016,人民幣,OK,,,,,,,,800,18731,3259502.38,649752.74,营业外收入,,
,亚翔集成,營收,姚祖骧,毛智辉,,y,,,,人民幣,,,,,,,,514527049.4,1180994351 .45,2141270753,1780812306,2255868187,,,
,优德精密,補助款,曾正雄,陈志伟,其它行业,y,深圳,300549,2016,人民幣,OK,,,,,,,,500918.01,6015428.13,1535411.24,3863138.41,非经常性损益项目及金额,汽车模具零部件、半导体计算机模具零部件、家电模具零部件等精密...,
,优德精密,營收,曾正雄,陈志伟,,y,,,,人民幣,,,,,,,,308694055.3,309089979.9,364054892.5,"460,802,342.1",380943147.3,,,
,晋亿实业,補助款,蔡永龙,蔡晋彰,制造业,y,上海,601002,2007,人民幣,OK,,3670884,4995225,9680331,25525124,18881071,16184371,6203196,14860913,3314361,7221887,非经常性损益项目和金额,主要业务是各类紧固件产成品、中间产品的研发、生产和销售。,
,晋亿实业,營收,蔡永龙,蔡晋彰,,y,,,,人民幣,,,1708428416,3024496114,"2,703,444,473",2596338695,2732722792,3008101238,2278105619,2284401358,2966888614,3471277744,,,
,艾艾精工,補助款,涂木林,涂国圣,其它行业,y,上海,603580,2017,人民幣,OK,,,,,,,,,3142530.31,5220112.95,3272762.46,非经常性损益项目和金额,臺商首例 艾艾精工從新三板轉A股,
,艾艾精工,營收,涂木林,涂国圣,,y,,,,人民幣,,,,,,,,,147108355.9,149385638.4,155020773.9,188114469,,,
榮成環保,荣成环保,,,,,,,,,人民幣,撤銷上市,,,,,,,,,,,,,,
南僑集團,南侨,,,,,,上海,,2018,人民幣,2018 年才上市,,,,,,,,,,,,,,
,富滿電子,補助款,刘景裕,刘景裕,其它行业,y,深圳,300671,2017,人民幣,OK,,,,,,,,2370433.1,4429685,6061309.46,13543119.54,非经常性损益项目及金额,从事高性能模拟及数模混合集成电路的设计研发、封装、测试和销售...,
,富滿電子,營收,刘景裕,刘景裕,,y,,,,人民幣,,,,,,,,,273229196,329642788.8,439734381.5,496688658.5,,,
,中潛股份有限公司,,张顺,张顺,制造业,,深圳,300526,2016,人民幣,OK,,,,,,,2114878.3,4205300,913127.78,6338883.82,1561985.53,非经常性损益项目及金额,,
,中潛股份有限公司,,,,,,,,,人民幣,,,,,,,,288784547.9,370678166.3,370732451.3,384530296.2,400848006,,,
,優德精密,補助款,曾正雄,陈志伟,其它行业,y,深圳,300549,2016,人民幣,OK,,,,,,,"382,000",500918.01,6015428.13,1535411.24,3863138.41,非经常性损益项目及金额,汽车模具零部件、半导体计算机模具零部件、家电模具零部件等精密..,
,優德精密,營收,曾正雄,陈志伟,,y,,,,人民幣,,,,,,,,308694055.3,309089979.9,364054892.5,460802342.1,380943147.3,,,
,四方精創,,周志群,周志群,计算机应用服务业,,深圳,300468,2015,人民幣,OK,,,,,,3304800,2802400,1414200,2676802.5,3456300,4098847.28,非经常性损益项目及金额,,
,四方精創,,,,,,,,,人民幣,,,,,,,315328828.8,337988183.1,300329658.4,367045428.4,507805832,487816568.8,,,
,惠倫晶體,補助款,赵积清,姜健伟（台）,制造业,y,深圳,300460,2015,人民幣,OK,,,,,,3428067.84,3919752.44,1019111.84,2122864.37,6053382.67,5180574.54,非经常性损益项目及金额,,
,惠倫晶體,營收,赵积清,姜健伟（台）,,y,,,,人民幣,,,,,,,400437123.6,404157127.4,416417144.3,369797361.8,363278187.7,318987012.3,,,
,勁勝智能,補助款,王九全,王建,制造业,y,深圳,300083,2010,人民幣,OK,,"2,164,367","5,127,580",1628839,5293388,2821217,9786628,22039277.61,35161748.76,51199674.45,39976455.38,非经常性损益的项目及金额,,
,勁勝智能,營收,王九全,王建,,y,,,,人民幣,,,"719,213,821","959,932,089","1,341,674,441",2029377191,3278007700,3980510949,3566693241,5136245300,6421723026,5506543759,,,
,英派斯,,丁利荣,丁利荣,其它行业,,深圳,2899,2017,人民幣,OK,,,,,,,,710439,2477889,4228752.04,8004784.2,非经常性损益项目及金额,,
,英派斯,,,,,,,,,人民幣,,,,,,,,,730908842.4,778654214.4,857231847.2,907663032.6,,,
,華統股份,,朱俭勇,朱俭军,制造业,,深圳,2840,2017,人民幣,OK,,,,,,,20681489.12,27512651.77,20182932.82,27717693.4,32915105.99,非经常性损益项目及金额,,
,華統股份,,,,,,,,,人民幣,,,,,,,,1630397001,1943697587,3992121272,4715431945,5118042889,,,
,寶馨科技,,陈东,朱永福,制造业,,深圳,2514,2010,人民幣,OK,,,106571,"11,552,931",917107.48,1048944.35,987710.62,"2,157,420.13",2214694.46,6793382.89,4820553.59,非经常性损益项目及金额,,
,寶馨科技,,,,,,,,,人民幣,,,,"267,608,157",288914534,288578562.1,328148816.7,419865028.4,523071860.2,547908294.8,548333314.1,807119529.3,,,
,立訊精密,,王来春,王来春,制造业,,深圳,2475,2010,人民幣,OK,,,"2,674,740","10,042,682","12,753,396",54690997.95,59945521.68,82752518.76,73873529.83,116620041.9,123984003.4,非经常性损益项目及金额,,
,立訊精密,,,,,,,,,人民幣,,,,1010548735,2555567715,3147201587,4591656698,7295948570. 78,10139492447,13762595894,22826099790,35849964160,,,
,國統股份,,徐永平,卢兆东,制造业,,深圳,2205,2007,人民幣,OK,,,,5910369.47,1948699.96,590415.33,928459.96,3887339.96,1328050.96,1873784.96,1426545.39,非经常性损益项目及金额,,
,國統股份,,,,,,,,,人民幣,,,,,640145903.6,472360557.4,870972272,803447558.8,392984833.1,600734208.9,789108710.4,789157206.8,,,
,弘訊科技,補助款,熊钰麟,俞田龙,制造业,y,上海,603015,2015,人民幣,OK,,,,,,1917184.33,1575497,2505842,9478800.9,4780649.99,10510140.2,非经常性损益项目和金额,,
,弘訊科技,營收,熊钰麟,俞田龙,,y,,,,人民幣,,,,,,,438231474.8,457045349.7,386579159.3,530860117.2,732854078.6,685622485.5,,,
,華懋科技,,张初全,张初全,制造业,,上海,603306,2014,人民幣,OK,,,,,1663662.93,1286837.48,2875229.55,7082474.15,4292903.95,5448364.49,6977340.93,,,
,華懋科技,,,,,,,,,人民幣,,,,,,296919220.3,396403543.1,531122158.1,676168709.2,889569444.7,989404740.1,983262755.3,,,
,怡球金屬資源,補助款,黄崇胜,刘凯珉,制造业,y,上海,601388,2012,人民幣,OK,,,6397488,4652033,8303637,1266457,2895651,1657511,5170000,1278120,2733670,,,
,怡球金屬資源,營收,黄崇胜,刘凯珉,,y,,,,人民幣,,,,3673331642,5403430702,5295178561,4877044911,4313953662,3490388949,3766844813,5384040136,6296541934,,,
,大中華金融,,,,,,香港,431,1992,人民幣,無補助,,,,,,,,,,,,,,
,恆富控股,,李海枫,Dragon Peace Limited,纺织、服饰及个人护理,,香港,643,2000,港幣,僅有一年拿補助,,,,,無,無,無,無,無,111000,無,,,
,恆富控股,,,,,,,,,港幣,,,,,,122737000,145838000,153176000,120695000,123105000,244590000,328513000,,,
,大豐港和順科技,,陶莹,,工用支援,,香港,8310,2013,港幣,OK,,,,,無,無,無,無,1906000,2778000,112000,,"2016年內，本集團分別從中國江蘇省大豐區地方政府 收取一次性退稅人民幣 1,521,000 元(約 1,774,000 港元)(二零一五年:無)及就業補貼人民幣 113,000 元(約 132,000 港元)(二零一五年:無)。 該等補貼旨在鼓勵本集團推動大豐區內經濟。",
,大豐港和順科技,,,,,,,,,港幣,,,,,,452111000,466456000,367620000,260395000,563708000,3225426000,4169489000,,,
,中芯國際,,,,,,香港,981,2004,美元,非台資,,,,,150347000,85972000,8268000,8280000,126845000,110999000,143485000,,"獲上海市主管政府機構發出書面批准，據此，向中芯南方給予每年度金額不低於國家集成電路基金總出資額
4%、持續年限不少於5年的政府補貼／就特殊研發項目的政府補貼
截至二零一一年 十二月三十一日 止年度
千美元
22,795
截至二零一二年 十二月三十一日 止年度
 
千美元
28,993
在若干特殊研發項目方面，本公司於二零一二年及二零一一年已分別獲得政府54.1百萬美元 及126.1百萬美元之獎勵，並已以償付若干研發開支之形式分別確認31.0百萬美元及42.6百萬 美元。該獎勵遞延至按補助方面所指定的目標已經達成，始認列為研發開支之扣減。／就特殊研發項目的政府補貼
截至二零一一年 十二月三十一日 止年度
千美元
22,795
截至二零一二年 十二月三十一日 止年度
 
千美元
28,993
在若干特殊研發項目方面，本公司於二零一二年及二零一一年已分別獲得政府54.1百萬美元 及126.1百萬美元之獎勵，並已以償付若干研發開支之形式分別確認31.0百萬美元及42.6百萬 美元。該獎勵遞延至按補助方面所指定的目標已經達成，始認列為研發開支之扣減。",
,中芯國際,,,,,,,,,美元,,,,,,1701598000,2068964000,1969966000,2236415000,2914180000,3101175000,3359984000,,,
,華潤微電子,,,,,,香港,597,2004,美元,下市,,,,,,,,,,,,,,
,天然乳品（中國金匯礦業）,,,,,,香港,462,2005,美元,停牌,,,,,,,,,,,,,,
,中播控股,,,,,,香港,471,2005,美元,無補助,,,,,,,,,,,,,,
,偉俊礦業集團,,,,,,香港,660,1993,美元,無補助,,,,,,,,,,,,,,
寶成集團,寶勝國際,,,,,,香港,3813,2008,美元,無補助,,,,,,,,,,,,,,
,高鑫零售,,张勇,吉鑫控股有限公司,零售,,香港,6808,2011,人民幣,OK,,,78000000,126000000,82000000,119000000,149000000,126000000,167000000,165000000,200000000,,政府補貼指自地方機關收取的補貼。,
,高鑫零售,,,,,,,,,人民幣,,,,56168000000,68084000000,77851000000,86195000000,91855000000,96414000000,100441000000,102320000000,101315000000,,,
,天福,補助款,李瑞河,General Atlantic Singapore Fund Pte. Ltd.,食物饮品,y,香港,6868,2011,人民幣,OK,,,5067000,4155000,10066000,13057000,10934000,8802000,10221000,11611000,17093000,,本集團的其他收入由截至2010年12月31日止年度的人民幣9.0百萬元下降17.8%至截至2011年12月31日止年 度的人民幣7.4百萬元。其他收入下降主要由於中國地方政府補助下降，由截至2010年12月31日止年度的 人民幣5.1百萬元下降至截至2011年12月31日止年度的人民幣4.2百萬元，投資物業租金收入由截至2010年 12月31日止年度的人民幣1.7百萬元下降至截至2011年12月31日止年度的人民幣1.3百萬元。,
,天福,營收,李瑞河,General Atlantic Singapore Fund Pte. Ltd.,,y,,,,人民幣,,,,1246993000,1753317000,1706598000,1661577000,1688589000,1518045000,1484718000,1576561000,1635562000,,,
,無縫綠色,,黄健雄,凌家珍,家庭电器及用品,,香港,8150,2001,人民幣,無補助,,,,,,,,,,,,,,
