選舉類型,區域,名字,性別,政黨,現任與否,當選註記,,,,,,,,,,,,,,
1951臺灣省臨時省議會,宜蘭縣,郭雨新,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,平原原住民,陳修福,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,山原原住民,潘福隆,,,,,,,,,,,,,,,,,,
1951臺灣省臨時省議會,山原原住民,林瑞昌,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,澎湖縣,郭石頭,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺南縣,黃朝琴,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺南縣,梁許春菊,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺南縣,胡丙申,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺南縣,吳三連,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺南市,黃業,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺南市,林全義,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺東縣,洪掛,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺北縣,賴森林,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺北縣,林世南,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺北縣,李建和,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺北縣,王宋瓊英,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺北市,陳逢源,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺北市,陳和錦,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺北市,林王少華,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺北市,周百鍊,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺中縣,蔡鴻文,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺中縣,李卿雲,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺中縣,何金生,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺中市,徐灶生,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,臺中市,林金聲,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,彰化縣,游蘇鴦,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,彰化縣,陳萬福,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,彰化縣,張炎清,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,彰化縣,林端珍,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,彰化縣,林生財,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,嘉義縣,劉傳來,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,嘉義縣,黃宗焜,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,嘉義縣,許世賢,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,嘉義縣,翁新臺,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,新竹縣,許金德,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,新竹縣,何禮棟,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,雲林縣,黃廖素娥,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,雲林縣,黃祺袚,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,雲林縣,林頂立,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,雲林縣,李萬居,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,基隆市,張振生,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,高雄縣,劉朝四,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,高雄縣,陳皆興,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,高雄縣,朱萬成,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,高雄市,盧繼竇,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,高雄市,林仁和,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,桃園縣,陳長壽,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,桃園縣,張芳燮,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,苗栗縣,劉闊才,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,苗栗縣,黃運金,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,屏東縣,蕭秀利,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,屏東縣,陳振茂,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,屏東縣,江金彰,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,南投縣,劉金約,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,南投縣,陳萬,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,南投縣,陳彩龍,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,花蓮縣,林永樑,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,宜蘭縣,陳火土,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,宜蘭縣,郭雨新,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,平原原住民,高贏清,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,山原原住民,潘福隆,,,,,,,,,,,,,,,,,,
1954臺灣省臨時省議會,山原原住民,葛良拜,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,澎湖縣,郭石頭,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺南縣,黃朝琴,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺南縣,郭秋煌,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺南縣,梁許春菊,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺南縣,吳三連,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺南縣,王雲龍,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺南市,歐雲明,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺南市,林全祿,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺東縣,林尚英,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北縣,賴森林,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北縣,陳天佑,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北縣,張彩鳳,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北縣,林世南,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北縣,李建和,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北市,陳茂榜,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北市,陳大拔,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北市,郭國基,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北市,胡克柔,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北市,李良榮,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺北市,李丙心,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺中縣,蔡鴻文,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺中縣,陳林雪霞,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺中縣,李雅正,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺中縣,李卿雲,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺中市,賴榮木,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,臺中市,程冠珊,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,彰化縣,蘇振輝,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,彰化縣,謝東閔,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,彰化縣,楊紅綢,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,彰化縣,陳筆,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,彰化縣,林生財,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,嘉義縣,賴淵平,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,嘉義縣,蔡錦棟,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,嘉義縣,許世賢,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,嘉義縣,何甘棠,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,新竹縣,葉炳煌,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,新竹縣,陳俊宏,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,新竹縣,許振乾,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,新竹縣,許金德,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,雲林縣,林蔡素女,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,雲林縣,李萬居,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,雲林縣,江文清,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,雲林縣,王安順,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,基隆市,張振生,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,高雄縣,黃占岸,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,高雄縣,林清景,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,高雄縣,朱萬成,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,高雄縣,王國秀,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,高雄市,黃堯,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,高雄市,李源棧,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,桃園縣,葉寒青,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,桃園縣,黃宗寬,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,桃園縣,王新順,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,苗栗縣,藍茂松,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,苗栗縣,黃運金,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,苗栗縣,王天賜,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,屏東縣,蔡李鴦,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,屏東縣,劉盛財,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,屏東縣,葉慶源,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,屏東縣,江金彰,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,南投縣,蕭添財,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,南投縣,陳彩龍,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,花蓮縣,林茂盛,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,宜蘭縣,陳火土,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,宜蘭縣,郭雨新,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,平原原住民,高贏清,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,山原原住民,潘福隆,,,,,,,,,,,,,,,,,,
1957臺灣省臨時省議會,山原原住民,高永清,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,澎湖縣,郭石頭,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺南縣,黃朝琴,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺南縣,郭秋煌,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺南縣,梁許春菊,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺南縣,吳三連,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺南縣,王雲龍,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺南市,歐雲明,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺南市,林全祿,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺東縣,林尚英,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北縣,賴森林,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北縣,陳天佑,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北縣,張彩鳳,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北縣,林世南,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北縣,李建和,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北市,陳茂榜,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北市,陳大拔,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北市,郭國基,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北市,胡克柔,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺北市,李丙心,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺中縣,蔡鴻文,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺中縣,陳林雪霞,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺中縣,李雅正,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺中縣,李卿雲,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺中市,賴榮木,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,臺中市,程冠珊,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,彰化縣,蘇振輝,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,彰化縣,謝東閔,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,彰化縣,楊紅綢,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,彰化縣,陳筆,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,彰化縣,林生財,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,嘉義縣,賴淵平,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,嘉義縣,蔡錦棟,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,嘉義縣,許世賢,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,嘉義縣,何甘棠,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,新竹縣,葉炳煌,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,新竹縣,許振乾,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,新竹縣,許金德,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,雲林縣,林蔡素女,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,雲林縣,李萬居,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,雲林縣,江文清,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,雲林縣,王安順,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,基隆市,張振生,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,高雄縣,黃占岸,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,高雄縣,林清景,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,高雄縣,朱萬成,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,高雄縣,王國秀,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,高雄市,黃堯,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,高雄市,李源棧,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,桃園縣,葉寒青,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,桃園縣,黃宗寬,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,桃園縣,王新順,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,苗栗縣,藍茂松,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,苗栗縣,黃運金,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,苗栗縣,王天賜,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,屏東縣,蔡李鴦,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,屏東縣,劉盛財,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,屏東縣,葉慶源,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,屏東縣,江金彰,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,南投縣,蕭添財,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,南投縣,陳彩龍,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,花蓮縣,林茂盛,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,宜蘭縣,陳火土,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,宜蘭縣,郭雨新,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,平原原住民,高贏清,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,山原原住民,潘福隆,,,,,,,,,,,,,,,,,,
1959第一屆臺灣省議會,山原原住民,高永清,,,,,,,,,,,,,,,,,,
1960第二屆臺灣省議會,澎湖縣,郭石頭,,,,,,,,,,,,,,,,,,
1960第二屆臺灣省議會,澎湖縣,許記盛,,,,,,,,,,,,,,,,,,
