議員,區域,1945,1951,1954,1957,1959,1960,1963,1968,1973,1977,1981,1985,1989,1994,1998,2001,2002,2004,2005,2006,2007,2009,2010,2014,2018,,,,,,,,,
蔡鴻文,臺中市,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
陳啟吉,南投縣,,,,,,,,,,,1,1,,1,1,1,,1,,,1,,1,,,,,,,,,,,
郭雨新,宜蘭縣,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
蔡介雄,臺南市,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
李文正,臺南市,,,,,,,,1,1,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
梁許春菊,臺南市,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
許金德,新竹縣,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
李建和,新北市,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
張振生,基隆市,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
鄭林清良,基隆市,,,,,,,,,,,,,,,1,,1,,1,,,3,,1,,,,,,,,,,
陳進祥,桃園市,,,,,,,,,,,,,1,1,1,1,,1,,,1,,1,,,,,,,,,,,
李明通,臺南市,,,,,,,,,,,,1,1,,1,1,,1,,,1,,,,,,,,,,,,,
陳錦祥,臺北市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,,,,,,,,
陳永德,臺北市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,,,,,,,,
陳政忠,臺北市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,,,,,,,,
李建昌,臺北市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,,,,,,,,
吳碧珠,臺北市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,,,,,,,,
周柏雅,臺北市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,,,,,,,,
李卿雲,臺中市,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
周細滿,新竹縣,,,,,,,,,,,,1,1,,,1,,1,,,1,,1,,,,,,,,,,,
賴森林,新北市,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
李萬居,雲林縣,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
張芳麗,基隆市,,,,,,,,,,,,,,,1,,1,,1,,,1,,2,1,,,,,,,,,
李喬如,高雄市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,,,,,,,,
許崑源,高雄市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,1,,,,,,,,,,
余玲雅,高雄市,,,,,,,,,,,1,1,1,,,1,,1,,,1,,,,,,,,,,,,,
朱萬成,高雄市,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
黃運金,苗栗縣,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
林郁虹,屏東縣,,,,,,,,,,,,,,,1,,1,,1,,,1,1,1,1,,,,,,,,,
陳海山,澎湖縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
陳雙全,澎湖縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
蔡江淋,臺南市,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
蔡淑惠,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
陳秋萍,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
杜素吟,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
郭信良,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
洪玉鳳,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
黃朝琴（台南）,臺南市,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
賴美惠,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
梁順發,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
林炳利,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
林宜瑾,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
邱莉莉,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
謝鈞惠,臺南市,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
許至椿,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
莊玉珠,臺南市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
陳孋輝,臺北市,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,
陳義洲,臺北市,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,
黃珊珊,臺北市,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,
厲耿桂芳,臺北市,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,
李慶元,臺北市,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,
林晉章,臺北市,,,,,,,,,,,,,,1,1,,1,,,1,,,1,,,,,,,,,,,
吳世正,臺北市,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,
顏聖冠,臺北市,,,,,,,,,,,,,,,1,,1,,,1,,,1,1,,,,,,,,,,
陳林雪霞,臺中市,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
何敏誠,臺中市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
賴榮木,臺中市,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
賴順仁,臺中市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
羅永珍,臺中市,,,,,,,,,,,,,,,,,1,,1,,,,2,1,,,,,,,,,,
蘇慶雲,臺中市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
張滄沂,臺中市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
張宏年,臺中市,,,,,,,,,,,,,,,1,,1,,1,,,,1,1,,,,,,,,,,
曾世勇,彰化縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,,
陳筆,彰化縣,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
李俊諭,彰化縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,,,,,,,,,,
吳淑娟,彰化縣,,,,,,,,,,,,,,,1,,1,,1,,,1,,1,1,,,,,,,,,
蕭淑芬,彰化縣,,,,,,,,,,,,,,,,,,,1,,,1,,3,1,,,,,,,,,
謝東閔,彰化縣,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
