ID,圖片網址,,座標,地址,候選人名稱,次要,共同,看板標語,標語 tag,黨徽,可能須排除,原始答案
1011,/proj-assets/election-board/uploads/images/1542947150-ab671230627bee3075004c2edc4faf73.jpg,3,POINT(25.0342083143324 121.475941786361),新北市板橋區文化路二段499號21樓,劉美芳,,,"孩子，是我們的未來 教育先鋒,支持連任","幼童,教育",Ｙ,,劉美芳
1012,/proj-assets/election-board/uploads/images/1542947196-ae6d69d20463f0ae344ba715bd538b88.jpg,3,POINT(25.0272222222222 121.470277777778),新北市板橋區文化路二段157號,林國春,,,治安專家,,N,,林國春
1013,/proj-assets/election-board/uploads/images/1542947227-5da1288ddbcd0005b5357214a186f323.jpg,3,POINT(25.0274456703675 121.470317694703),新北市板橋區文化路二段147號,周勝考,,,"成功爭取兒童捷運半價,做事的議員",,N,,周勝考
1013,/proj-assets/election-board/uploads/images/1542947227-5da1288ddbcd0005b5357214a186f323.jpg,,POINT(25.0274456703675 121.470317694703),新北市板橋區文化路二段147號,林國春,,,治安專家,,Ｙ,,林國春
1014,/proj-assets/election-board/uploads/images/1542947283-6ef8edb4b669b6870d08973d8c248b23.jpg,3,POINT(25.0193369115821 121.461073001779),新北市板橋區中正路216巷150弄7號,丁睿昇,,,丁緊市政 板橋提昇,姓名諧音,N,,丁睿昇
1014,/proj-assets/election-board/uploads/images/1542947283-6ef8edb4b669b6870d08973d8c248b23.jpg,,POINT(25.0193369115821 121.461073001779),新北市板橋區中正路216巷150弄7號,侯友宜,,林國春,安居樂業,,N,,侯友宜
1014,/proj-assets/election-board/uploads/images/1542947283-6ef8edb4b669b6870d08973d8c248b23.jpg,,POINT(25.0193369115821 121.461073001779),新北市板橋區中正路216巷150弄7號,廖裕德,,,"教育專業,真誠堅定,為教育向前行,無黨",,Ｙ,,廖裕德
1014,/proj-assets/election-board/uploads/images/1542947283-6ef8edb4b669b6870d08973d8c248b23.jpg,,POINT(25.0193369115821 121.461073001779),新北市板橋區中正路216巷150弄7號,林國春,,侯友宜,治安專家,,N,,林國春
1015,/proj-assets/election-board/uploads/images/1542947340-64e3f550e44a8f17fa59addfad6ea309.jpg,3,POINT(25.0186215706887 121.461202884792),新北市板橋區國光路189號,林國春,,,治安專家,,Y,,林國春
1016,/proj-assets/election-board/uploads/images/1542947392-2dae61d0039731d060cdfe6cb127f635.jpg,3,POINT(25.0195949980799 121.460695338682),新北市板橋區中正路216巷150弄1號,劉美芳,,,孩子，是我們的未來 教育先鋒,,Y,,劉美芳
1017,/proj-assets/election-board/uploads/images/1542947526-744d659d90a1a73b6227656c1baf7a95.jpg,3,POINT(25.0155907986934 121.461843873932),新北市板橋區文化路一段139號,黃俊哲,,,"大板橋主義！,大醫療、大社福、大生活,台大碩士,搶救",學歷,Y,,黃俊哲
1018,/proj-assets/election-board/uploads/images/1542947576-d4087fc0a9308eed2c2054188be948bf.jpg,3,POINT(25.0152067459701 121.46211478924),新北市板橋區文化路一段135號6樓,蘇貞昌,,黃俊哲,"議員1票,市長1票,作伙衝跟我衝",,Y,,蘇貞昌
1018,/proj-assets/election-board/uploads/images/1542947576-d4087fc0a9308eed2c2054188be948bf.jpg,,POINT(25.0152067459701 121.46211478924),新北市板橋區文化路一段135號6樓,黃俊哲,,蘇貞昌,"議員1票,市長1票,作伙衝跟我衝",,Y,,黃俊哲
1019,/proj-assets/election-board/uploads/images/1542947613-316d4957c23b8a01c1e7c81deca00e1d.jpg,3,POINT(25.0161111111111 121.463055555556),新北市板橋區板橋車站(文化路),劉美芳,,,"孩子，是我們的未來,教育先鋒","幼童,教育",Y,,劉美芳
1020,/proj-assets/election-board/uploads/images/1542947645-25a1f0dc352e40d169a1a698c8e1064f.jpg,3,POINT(25.0181965420743 121.461657494034),新北市板橋區光正街62號,劉美芳,,,"教育及未來,重視教育 成就孩子的未來","幼童,教育",N,,劉美芳
1020,/proj-assets/election-board/uploads/images/1542947645-25a1f0dc352e40d169a1a698c8e1064f.jpg,,POINT(25.0181965420743 121.461657494034),新北市板橋區光正街62號,林國春,,,守護板橋 幸福向前 ,,N,,林國春
1020,/proj-assets/election-board/uploads/images/1542947645-25a1f0dc352e40d169a1a698c8e1064f.jpg,,POINT(25.0181965420743 121.461657494034),新北市板橋區光正街62號,蘇貞昌,,黃俊哲,"議員1票,市長1票,作伙衝跟我衝",,Y,,蘇貞昌
1020,/proj-assets/election-board/uploads/images/1542947645-25a1f0dc352e40d169a1a698c8e1064f.jpg,,POINT(25.0181965420743 121.461657494034),新北市板橋區光正街62號,黃俊哲,,蘇貞昌,"議員1票,市長1票,作伙衝跟我衝",,Y,,黃俊哲
1021,/proj-assets/election-board/uploads/images/1542947705-ef8ea619ba38751c8137d1f8fbd821f4.jpg,3,POINT(25.0175 121.464166666667),新北市板橋區文化路一段237號,侯友宜,,葉元之,安居樂業,,Y,,侯友宜
1021,/proj-assets/election-board/uploads/images/1542947705-ef8ea619ba38751c8137d1f8fbd821f4.jpg,,POINT(25.0175 121.464166666667),新北市板橋區文化路一段237號,吳炳輝,,,誠摯懇託,,N,,吳炳輝
1021,/proj-assets/election-board/uploads/images/1542947705-ef8ea619ba38751c8137d1f8fbd821f4.jpg,,POINT(25.0175 121.464166666667),新北市板橋區文化路一段237號,葉元之,,侯友宜,安居樂業,,Y,,葉元之
1022,/proj-assets/election-board/uploads/images/1542947756-02293b4ee920ba3290cbe4eb2032416f.jpg,3,POINT(25.018053573703 121.461744449825),新北市板橋區光正街60號,葉元之,朱立倫,,朱立倫全力栽培,,N,,林國春
1023,/proj-assets/election-board/uploads/images/1542947850-8adceb8a6d8d4e4af829418c5b0930cf.jpg,3,POINT(25.0155555555556 121.462777777778),新北市板橋區板橋車站(文化路),曾煥嘉,,,"傾聽,我用心你放心",,Ｎ,,曾煥嘉
1024,/proj-assets/election-board/uploads/images/1542947883-d929b46136116f0f2f4c79b2dcd89ed9.jpg,3,POINT(25.0156248656915 121.461907818778),新北市板橋區文化路1段141號3之2樓,曾煥嘉,,,"傾聽,我用心你放心",,Ｎ,,曾煥嘉
1025,/proj-assets/election-board/uploads/images/1542948087-82b1515d3a6a627e8b697091e69a76c3.jpg,3,POINT(25.0155555555556 121.462777777778),新北市板橋區板橋車站(文化路),李婉鈺,,,都市計畫建築博士 ,,Ｎ,,李婉鈺
1026,/proj-assets/election-board/uploads/images/1542949173-a71ae8a4d39ea35b2515b9cd9109ad6b.jpg,3,POINT(25.1220827870193 121.502674005948),台北市北投區公舘路420號,丁守中,,汪志冰,"丁緊市政聯守進行中,台北未來在手中",姓名諧音,Y,,丁守中
1026,/proj-assets/election-board/uploads/images/1542949173-a71ae8a4d39ea35b2515b9cd9109ad6b.jpg,,POINT(25.1220827870193 121.502674005948),台北市北投區公舘路420號,汪志冰,,丁守中,"丁緊市政聯守進行中,台北未來在手中",,Y,,汪志冰
1027,/proj-assets/election-board/uploads/images/1542956157-5787e46478200289355291141250c107.jpg,3,POINT(24.9932195852221 121.541494600189),台北市文山區羅斯福路6段216號景美站,歐陽龍,,,"你的一票是台北的希望,堅定支持",,,,歐陽龍=4 耿葳=4
1028,/proj-assets/election-board/uploads/images/1542956230-5b35ae333f7ad4c065f0fd09726a7282.jpg,3,POINT(24.9922765653372 121.541638004947),台北市文山區景美街13-15號,王閔生,,,"景美在地,景美游泳池保留並翻新,景美國中修繕經費成功爭取",,Y,,王閔生
1029,/proj-assets/election-board/uploads/images/1542975053-80b49e317027a4e8a1d28347b25a74b3.jpg,3,POINT(25.1208333333333 121.504166666667),台北市北投區西安街二段365號,陳賢蔚,吳思瑤,,"認真會做事,吳思瑤推薦",,Y,,陳賢蔚
1030,/proj-assets/election-board/uploads/images/1542983742-1707d41dfc6db8186d581ad7f10687ce.jpg,3,POINT(25.0564083333333 121.435141666667),新北市泰山區仁愛路219號,賴秋媚,,,認真好議員,,Y,,賴秋媚
1031,/proj-assets/election-board/uploads/images/1543025699-590921edfe6b4c1dc9bc3d2eb946c0ba.jpg,3,POINT(25.0642927547975 121.663156238623),新北市汐止區福安街51號,黃智姍,黃國昌,,"給新政治一個機會,勇敢改變",年輕,Y,,黃智姍
1032,/proj-assets/election-board/uploads/images/1543025740-ebe4e3daa77dd279a5b4e109dbf19b29.jpg,3,POINT(25.0640779 121.6631569),新北市汐止區仁愛路132號,黃智姍,黃國昌,,"給新政治一個機會,勇敢改變",年輕,Y,,黃智姍
1033,/proj-assets/election-board/uploads/images/1543025778-86341e487cc54991a15f98cdea5b0999.jpg,3,POINT(25.0640786404736 121.663162380753),新北市汐止區仁愛路132號,張錦豪,,蘇貞昌,法學碩士,學歷,Ｎ,,張錦豪
1033,/proj-assets/election-board/uploads/images/1543025778-86341e487cc54991a15f98cdea5b0999.jpg,,POINT(25.0640786404736 121.663162380753),新北市汐止區仁愛路132號,蘇貞昌,,張錦豪,會做事,,Ｎ,,蘇貞昌
1034,/proj-assets/election-board/uploads/images/1543025941-a085cd48858cbc45578c8c77932949d1.jpg,,POINT(25.0639580148502 121.663013462044),新北市汐止區仁愛路122號,李忠寶,侯友宜,,"侯友宜逗陣ㄟ,敢說肯做打貪真英雄,誠摯拜託",,Ｎ,,李忠寶
1035,/proj-assets/election-board/uploads/images/1543026040-4f62a2f2d99d671dd3370c6fe57dfd50.jpg,3,POINT(25.0648152130747 121.663087722031),新北市汐止區福安街43號,周雅玲,,,玲與您 向前行,,Y,,周雅玲
1036,/proj-assets/election-board/uploads/images/1543037569-3018b17d10ccb3fead09ca15c79a7b7c.jpg,3,POINT(25.0654682672223 121.661988476853),新北市汐止區福安街10號,周雅玲,,,玲與您 向前行,,Y,,周雅玲
1037,/proj-assets/election-board/uploads/images/1543037624-810882f1c1ec5af375312a6e7156c7cf.jpg,3,POINT(25.0699160128085 121.66287409722),新北市汐止區大同路二段565號,唐瓔庭,,,競選總部,,Ｎ,,唐瓔庭
1037,/proj-assets/election-board/uploads/images/1543037624-810882f1c1ec5af375312a6e7156c7cf.jpg,3,POINT(25.0699160128085 121.66287409722),,唐瓔庭,,,,,Ｎ,,
1038,/proj-assets/election-board/uploads/images/1543037681-c9503298589562efc0717091bed0f759.jpg,3,POINT(25.0692162657899 121.661557330022),新北市汐止區大同路二段525號,周雅玲,,,玲與您 向前行,,Y,,周雅玲
1039,/proj-assets/election-board/uploads/images/1543037740-4e880403512fdc51493e54d8966641c9.jpg,3,POINT(25.0682018546512 121.660403977555),新北市汐止區台5甲線473號,侯友宜,,黃瑞傳,"拚經濟顧生活,安居樂業,選對的人",,Ｎ,,侯友宜
1039,/proj-assets/election-board/uploads/images/1543037740-4e880403512fdc51493e54d8966641c9.jpg,,POINT(25.0682018546512 121.660403977555),新北市汐止區台5甲線473號,廖先翔,,,,,,y,廖先翔
1039,/proj-assets/election-board/uploads/images/1543037740-4e880403512fdc51493e54d8966641c9.jpg,,POINT(25.0682018546512 121.660403977555),新北市汐止區台5甲線473號,黃瑞傳,,,"建設多,福利好,選對的人,選賢與能,清廉服務",,Ｎ,,李忠寶
1039,/proj-assets/election-board/uploads/images/1543037740-4e880403512fdc51493e54d8966641c9.jpg,,POINT(25.0682018546512 121.660403977555),新北市汐止區台5甲線473號,黃瑞傳,,侯友宜,"拚經濟顧生活,安居樂業,選對的人",,Ｎ,,黃瑞傳
