選舉類型,選舉區,name,推薦之政黨,date of birth,號次
111年縣市議員選舉,金門縣第2選舉區,王秀玉,中國國民黨,1968,9
111年縣市議員選舉,南投縣第3選舉區,陳淑惠,中國國民黨,1957,6
111年縣市議員選舉,南投縣第4選舉區,陳玉鈴,民主進步黨,1967,6
111年縣市議員選舉,南投縣第4選舉區,吳瑞芳,無,1957,4
111年縣市議員選舉,屏東縣第16選舉區,賴天賜,無,1959,1
111年縣市議員選舉,屏東縣第1選舉區,林建志,無,未知,3
111年縣市議員選舉,屏東縣第1選舉區,黃明賢,中國國民黨,1983,6
111年縣市議員選舉,屏東縣第2選舉區,張振亮,民主進步黨,1964,6
111年縣市議員選舉,屏東縣第2選舉區,陳明達,民主進步黨,1963,11
111年縣市議員選舉,屏東縣第3選舉區,陳志成,無,1963,11
111年縣市議員選舉,屏東縣第3選舉區,林志成,無,1966,4
111年縣市議員選舉,屏東縣第4選舉區,洪志明,中國國民黨,1975,1
111年縣市議員選舉,屏東縣第7選舉區,陳建興,無,未知,3
111年縣市議員選舉,苗栗縣第1選舉區,林志豪,時代力量,未知,7
111年縣市議員選舉,苗栗縣第2選舉區,徐文達,中國國民黨,1958,2
111年縣市議員選舉,苗栗縣第5選舉區,李貴富,民主進步黨,1970,9
111年縣市議員選舉,基隆市第7選舉區,楊秀玉,親民黨,1967,1
111年縣市議員選舉,雲林縣第2選舉區,蔡東富,無,1959,6
111年縣市議員選舉,雲林縣第2選舉區,陳志榮,無,未知,7
111年縣市議員選舉,雲林縣第3選舉區,林文彬,民主進步黨,1956,4
111年縣市議員選舉,雲林縣第3選舉區,沈宗隆,中國國民黨,1959,6
111年縣市議員選舉,雲林縣第4選舉區,李明哲,中國國民黨,1968,7
111年縣市議員選舉,雲林縣第5選舉區,蘇俊豪,無,1975,9
111年縣市議員選舉,新竹市第1選舉區,張文興,中國國民黨,1967,15
111年縣市議員選舉,新竹市第3選舉區,陳治雄,中國國民黨,1959,3
111年縣市議員選舉,新竹市第3選舉區,陳建名,民主進步黨,1985,1
111年縣市議員選舉,新竹市第4選舉區,林彥甫,時代力量,1989,1
111年縣市議員選舉,新竹市第4選舉區,陳清全,無,1949,13
111年縣市議員選舉,新竹市第5選舉區,吳國寶,無,1970,5
111年縣市議員選舉,新竹縣第1選舉區,陳文得,無,1966,20
111年縣市議員選舉,新竹縣第2選舉區,張燦堂,無,1961,10
111年縣市議員選舉,嘉義市第2選舉區,張秀華,中國國民黨,1957,13
111年縣市議員選舉,嘉義縣第2選舉區,林秀琴,民主進步黨,1953,12
111年縣市議員選舉,嘉義縣第2選舉區,陳文忠,無,1964,9
111年縣市議員選舉,嘉義縣第3選舉區,陳志明,無,1965,8
