選舉類型,選舉區,name,推薦之政黨,date of birth,號次
111年縣市議員選舉,新北市第6選舉區,陳錦錠,中國國民黨,1954,7
111年縣市議員選舉,新北市第6選舉區,邱烽堯,中國國民黨,1973,3
111年縣市議員選舉,新北市第6選舉區,李正皓,無,1984,5
111年縣市議員選舉,新北市第6選舉區,金瑞龍,中國國民黨,1969,4
111年縣市議員選舉,新北市第6選舉區,游輝宂,中國國民黨,1983,6
111年縣市議員選舉,新北市第7選舉區,許昭興,民主進步黨,1971,5
111年縣市議員選舉,新北市第7選舉區,羅文崇,民主進步黨,1964,4
111年縣市議員選舉,新北市第7選舉區,連斐璠,中國國民黨,1959,2
111年縣市議員選舉,新北市第7選舉區,蕭蒼澤,台灣維新,1965,3
111年縣市議員選舉,新北市第8選舉區,廖宜琨,民主進步黨,1982,11
111年縣市議員選舉,新北市第8選舉區,林銘仁,民主進步黨,1960,15
111年縣市議員選舉,新北市第8選舉區,林金結,中國國民黨,1968,14
111年縣市議員選舉,新北市第8選舉區,張昭隆,台灣民眾黨,1966,5
111年縣市議員選舉,新北市第8選舉區,曾進益,民主進步黨,1964,8
111年縣市議員選舉,新北市第8選舉區,洪佳君,中國國民黨,1977,6
111年縣市議員選舉,新北市第8選舉區,蘇泓欽,無,1979,7
111年縣市議員選舉,新北市第8選舉區,江怡臻,中國國民黨,1982,2
111年縣市議員選舉,新北市第8選舉區,歐金獅,無,1952,9
111年縣市議員選舉,新北市第9選舉區,張凱鈞,台灣民眾黨,1977,3
111年縣市議員選舉,新北市第9選舉區,陳儀君,中國國民黨,1973,2
111年縣市議員選舉,新北市第9選舉區,劉哲彰,中國國民黨,1972,6
111年縣市議員選舉,臺中市第10選舉區,黃守達,民主進步黨,1988,3
111年縣市議員選舉,臺中市第10選舉區,江肇國,民主進步黨,1977,4
111年縣市議員選舉,臺中市第10選舉區,紀文清,無,1952,1
111年縣市議員選舉,臺中市第10選舉區,張彥彤,中國國民黨,1986,6
111年縣市議員選舉,臺中市第10選舉區,林京玲,無,1990,2
111年縣市議員選舉,臺中市第11選舉區,翁俊楠,無,1968,4
111年縣市議員選舉,臺中市第11選舉區,羅廷瑋,中國國民黨,1989,6
111年縣市議員選舉,臺中市第11選舉區,鄭功進,民主進步黨,1961,11
111年縣市議員選舉,臺中市第11選舉區,林文仲,無,1970,5
111年縣市議員選舉,臺中市第12選舉區,林宜蓁,台灣基進,1964,4
111年縣市議員選舉,臺中市第12選舉區,賴義鍠,中國國民黨,1967,3
111年縣市議員選舉,臺中市第12選舉區,張玉嬿,民主進步黨,1981,1
111年縣市議員選舉,臺中市第12選舉區,蔡耀頡,民主進步黨,1990,6
111年縣市議員選舉,臺中市第13選舉區,江和樹,台灣民眾黨,1981,7
111年縣市議員選舉,臺中市第13選舉區,張滄沂,無,1959,8
111年縣市議員選舉,臺中市第13選舉區,林德宇,民主進步黨,1979,6
111年縣市議員選舉,臺中市第13選舉區,張芬郁,民主進步黨,1958,2
111年縣市議員選舉,臺中市第13選舉區,蘇柏興,中國國民黨,1973,9
111年縣市議員選舉,臺中市第13選舉區,鄭伯其,中國國民黨,1978,12
111年縣市議員選舉,臺中市第13選舉區,林碧秀,中國國民黨,1955,1
111年縣市議員選舉,臺中市第13選舉區,薛安琪,小民參政歐巴桑聯盟,1980,3
111年縣市議員選舉,臺中市第13選舉區,楊偉浚,無,1990,4
111年縣市議員選舉,臺中市第14選舉區,蔡成圭,民主進步黨,1960,3
111年縣市議員選舉,臺中市第14選舉區,賴裕銘,無,1966,2
111年縣市議員選舉,臺中市第14選舉區,冉齡軒,無,1966,5
111年縣市議員選舉,臺中市第15選舉區,黃仁,中國國民黨,1962,4
111年縣市議員選舉,臺中市第15選舉區,江愛珍,民主進步黨,1977,1
111年縣市議員選舉,臺中市第17選舉區,朱元宏,無,1961,2
111年縣市議員選舉,臺中市第17選舉區,柯靜志,無,1977,3
111年縣市議員選舉,臺中市第1選舉區,施志昌,民主進步黨,1984,2
111年縣市議員選舉,臺中市第1選舉區,吳敏濟,民主進步黨,1956,4
111年縣市議員選舉,臺中市第1選舉區,李文傑,中國國民黨,1991,1
111年縣市議員選舉,臺中市第1選舉區,楊啓邦,中國國民黨,1979,3
111年縣市議員選舉,臺中市第2選舉區,王立任,民主進步黨,1969,4
111年縣市議員選舉,臺中市第2選舉區,楊典忠,民主進步黨,1960,6
111年縣市議員選舉,臺中市第2選舉區,尤碧鈴,無,1949,3
111年縣市議員選舉,臺中市第2選舉區,顏莉敏,中國國民黨,1984,8
111年縣市議員選舉,臺中市第2選舉區,張清照,中國國民黨,1963,5
111年縣市議員選舉,臺中市第3選舉區,張家銨,民主進步黨,1983,5
111年縣市議員選舉,臺中市第3選舉區,吳瓊華,中國國民黨,1969,9
111年縣市議員選舉,臺中市第3選舉區,林孟令,無,1973,3
111年縣市議員選舉,臺中市第4選舉區,陳若庭,台灣基進,1985,1
111年縣市議員選舉,臺中市第4選舉區,陳本添,中國國民黨,1957,2
111年縣市議員選舉,臺中市第4選舉區,張瀞分,中國國民黨,1943,3
111年縣市議員選舉,臺中市第4選舉區,蔡怡萱,無,1981,11
111年縣市議員選舉,臺中市第4選舉區,翁美春,無,1963,5
111年縣市議員選舉,臺中市第4選舉區,黃朝淵,無,1973,9
111年縣市議員選舉,臺中市第5選舉區,張睿倉,台灣民眾黨,1984,12
111年縣市議員選舉,臺中市第5選舉區,林義偉,民主進步黨,1984,5
111年縣市議員選舉,臺中市第5選舉區,周永鴻,民主進步黨,1973,3
111年縣市議員選舉,臺中市第5選舉區,羅永珍,中國國民黨,1952,8
111年縣市議員選舉,臺中市第5選舉區,徐瑄灃,無,1988,4
111年縣市議員選舉,臺中市第5選舉區,賴朝國,中國國民黨,1963,9
111年縣市議員選舉,臺中市第6選舉區,林祈烽,民主進步黨,1973,3
111年縣市議員選舉,臺中市第6選舉區,張廖乃綸,中國國民黨,1978,5
111年縣市議員選舉,臺中市第7選舉區,劉士州,中國國民黨,1962,5
111年縣市議員選舉,臺中市第7選舉區,張耀中,民主進步黨,1961,3
111年縣市議員選舉,臺中市第7選舉區,何文海,民主進步黨,1958,4
111年縣市議員選舉,臺中市第7選舉區,吳佩芸,時代力量,1992,1
111年縣市議員選舉,臺中市第7選舉區,朱暖英,中國國民黨,1965,7
111年縣市議員選舉,臺中市第8選舉區,段體佩,無,1964,11
111年縣市議員選舉,臺中市第8選舉區,楊欣怡,台灣基進,1982,12
111年縣市議員選舉,臺中市第8選舉區,蔡雅玲,民主進步黨,1977,10
111年縣市議員選舉,臺中市第8選舉區,邱于珊,台灣民眾黨,1962,5
111年縣市議員選舉,臺中市第8選舉區,彭振芳,前進黨,1964,7
111年縣市議員選舉,臺中市第8選舉區,賴順仁,中國國民黨,1969,9
111年縣市議員選舉,臺中市第8選舉區,曾朝榮,民主進步黨,1961,3
111年縣市議員選舉,臺中市第8選舉區,沈佑蓮,中國國民黨,1959,1
111年縣市議員選舉,臺中市第8選舉區,黃健豪,中國國民黨,1988,8
111年縣市議員選舉,臺中市第8選舉區,陳成添,中國國民黨,1963,2
111年縣市議員選舉,臺中市第9選舉區,賴佳微,民主進步黨,1982,2
111年縣市議員選舉,臺中市第9選舉區,陳文政,中國國民黨,1974,3
111年縣市議員選舉,臺中市第9選舉區,陳政顯,中國國民黨,1963,1
111年縣市議員選舉,臺北市第1選舉區,蘇府庭,無,1958,21
111年縣市議員選舉,臺北市第1選舉區,陳重文,中國國民黨,1977,7
111年縣市議員選舉,臺北市第1選舉區,劉仕傑,時代力量,1980,8
111年縣市議員選舉,臺北市第1選舉區,張渝江,無,1972,16
111年縣市議員選舉,臺北市第1選舉區,張斯綱,中國國民黨,1971,20
111年縣市議員選舉,臺北市第1選舉區,陳賢蔚,民主進步黨,1977,2
111年縣市議員選舉,臺北市第1選舉區,汪志冰,中國國民黨,1957,5
111年縣市議員選舉,臺北市第1選舉區,鍾佩玲,民主進步黨,1979,10
111年縣市議員選舉,臺北市第1選舉區,林杏兒,中國國民黨,1981,4
111年縣市議員選舉,臺北市第1選舉區,王郁揚,金色力量黨,1986,19
111年縣市議員選舉,臺北市第1選舉區,侯漢廷,新黨,1988,11
111年縣市議員選舉,臺北市第1選舉區,林瑞圖,無,1956,14
111年縣市議員選舉,臺北市第1選舉區,楊靜宇,無,1961,23
111年縣市議員選舉,臺北市第1選舉區,李光輝,無,1970,3
111年縣市議員選舉,臺北市第1選舉區,陳政忠,無,1955,25
111年縣市議員選舉,臺北市第1選舉區,黃郁芬,無,1990,22
111年縣市議員選舉,臺北市第2選舉區,江志銘,民主進步黨,1962,3
111年縣市議員選舉,臺北市第2選舉區,游淑慧,中國國民黨,1976,12
111年縣市議員選舉,臺北市第2選舉區,王孝維,民主進步黨,1961,6
111年縣市議員選舉,臺北市第2選舉區,李建昌,民主進步黨,1962,10
111年縣市議員選舉,臺北市第2選舉區,闕枚莎,中國國民黨,1972,11
111年縣市議員選舉,臺北市第2選舉區,李彥秀,中國國民黨,1971,13
111年縣市議員選舉,臺北市第2選舉區,吳世正,中國國民黨,1963,5
111年縣市議員選舉,臺北市第2選舉區,劉榮之,新黨,1977,2
111年縣市議員選舉,臺北市第3選舉區,林柏勛,時代力量,1983,5
111年縣市議員選舉,臺北市第3選舉區,許家蓓,民主進步黨,1977,3
111年縣市議員選舉,臺北市第3選舉區,秦慧珠,中國國民黨,1955,8
111年縣市議員選舉,臺北市第3選舉區,徐巧芯,中國國民黨,1989,11
111年縣市議員選舉,臺北市第3選舉區,洪健益,民主進步黨,1970,16
111年縣市議員選舉,臺北市第3選舉區,戴錫欽,中國國民黨,1966,12
111年縣市議員選舉,臺北市第3選舉區,王鴻薇,中國國民黨,1964,14
111年縣市議員選舉,臺北市第3選舉區,吳崢,無,1989,15
111年縣市議員選舉,臺北市第3選舉區,吳蕚洋,無,1960,4
111年縣市議員選舉,臺北市第3選舉區,洪士奇,無,1962,7
111年縣市議員選舉,臺北市第4選舉區,梁文傑,民主進步黨,1971,12
111年縣市議員選舉,臺北市第4選舉區,王世堅,民主進步黨,1960,6
111年縣市議員選舉,臺北市第4選舉區,顏若芳,民主進步黨,1985,10
111年縣市議員選舉,臺北市第4選舉區,林婕麗,新黨,1966,3
111年縣市議員選舉,臺北市第4選舉區,葉林傳,中國國民黨,1969,9
111年縣市議員選舉,臺北市第4選舉區,林亮君,無,1989,4
111年縣市議員選舉,臺北市第4選舉區,陳炳甫,中國國民黨,1971,5
111年縣市議員選舉,臺北市第4選舉區,高世俊,中國國民黨,1986,2
111年縣市議員選舉,臺北市第5選舉區,吳志剛,中國國民黨,1971,6
111年縣市議員選舉,臺北市第5選舉區,張榮法,新黨,1972,11
111年縣市議員選舉,臺北市第5選舉區,吳沛憶,民主進步黨,1987,4
111年縣市議員選舉,臺北市第5選舉區,郭昭巖,中國國民黨,1969,16
111年縣市議員選舉,臺北市第5選舉區,劉耀仁,民主進步黨,1968,1
111年縣市議員選舉,臺北市第5選舉區,應曉薇,中國國民黨,1964,12
111年縣市議員選舉,臺北市第5選舉區,徐立信,無,1975,5
111年縣市議員選舉,臺北市第5選舉區,陳樹霖,無,1952,15
111年縣市議員選舉,臺北市第6選舉區,華珮君,台灣動物保護黨,1988,6
111年縣市議員選舉,臺北市第6選舉區,鄭建炘,臺灣人民共產黨,1975,24
111年縣市議員選舉,臺北市第6選舉區,王閔生,民主進步黨,1975,5
111年縣市議員選舉,臺北市第6選舉區,簡舒培,民主進步黨,1977,22
111年縣市議員選舉,臺北市第6選舉區,蘇恆,無,1985,11
111年縣市議員選舉,臺北市第6選舉區,張幸松,台灣民眾黨,1958,1
111年縣市議員選舉,臺北市第6選舉區,曾獻瑩,無,1976,4
111年縣市議員選舉,臺北市第6選舉區,陳錦祥,中國國民黨,1959,20
111年縣市議員選舉,臺北市第6選舉區,詹晉鑒,民主進步黨,1982,8
111年縣市議員選舉,臺北市第6選舉區,耿葳,中國國民黨,1990,25
111年縣市議員選舉,臺北市第6選舉區,徐弘庭,中國國民黨,1982,17
111年縣市議員選舉,臺北市第6選舉區,苗博雅,社會民主黨,1987,19
111年縣市議員選舉,臺北市第6選舉區,王欣儀,中國國民黨,1970,18
111年縣市議員選舉,臺北市第6選舉區,林穎孟,無,1983,21
111年縣市議員選舉,臺北市第6選舉區,鍾沛君,中國國民黨,1984,15
111年縣市議員選舉,臺北市第7選舉區,李芳儒,中國國民黨,1969,2
111年縣市議員選舉,臺北市第8選舉區,李傅中武,中國國民黨,1973,1
111年縣市議員選舉,臺南市第10選舉區,陳世安,無,1970,9
111年縣市議員選舉,臺南市第10選舉區,王家貞,中國國民黨,1957,8
111年縣市議員選舉,臺南市第10選舉區,蔡筱薇,民主進步黨,1983,2
111年縣市議員選舉,臺南市第10選舉區,陳金鐘,民主進步黨,1960,4
111年縣市議員選舉,臺南市第10選舉區,蔡旺詮,民主進步黨,1968,7
111年縣市議員選舉,臺南市第10選舉區,曾培雅,中國國民黨,1959,3
111年縣市議員選舉,臺南市第11選舉區,翁語含,無,1973,5
111年縣市議員選舉,臺南市第11選舉區,江國銘,台灣民眾黨,1981,3
111年縣市議員選舉,臺南市第11選舉區,許又仁,無,1965,4
111年縣市議員選舉,臺南市第11選舉區,郭鴻儀,民主進步黨,1967,7
111年縣市議員選舉,臺南市第11選舉區,吳禹寰,無,1980,6
111年縣市議員選舉,臺南市第11選舉區,杜素吟,無黨團結聯盟,1956,8
111年縣市議員選舉,臺南市第11選舉區,鄭佳欣,民主進步黨,1979,1
111年縣市議員選舉,臺南市第12選舉區,李美素,無,1969,1
111年縣市議員選舉,臺南市第12選舉區,穎艾達利 Ingay Tali,無,1973,2
111年縣市議員選舉,臺南市第13選舉區,伍宗康,無,1978,2
111年縣市議員選舉,臺南市第1選舉區,蔡育輝,中國國民黨,1959,1
111年縣市議員選舉,臺南市第1選舉區,沈家鳳,民主進步黨,1980,2
111年縣市議員選舉,臺南市第1選舉區,李宗翰,民主進步黨,1992,9
111年縣市議員選舉,臺南市第1選舉區,趙昆原,無,1956,4
111年縣市議員選舉,臺南市第1選舉區,劉米山,民主進步黨,1965,5
111年縣市議員選舉,臺南市第2選舉區,蔡蘇秋金,民主進步黨,1961,2
111年縣市議員選舉,臺南市第2選舉區,蔡秋蘭,民主進步黨,1958,1
111年縣市議員選舉,臺南市第2選舉區,方一峰,中國國民黨,1964,7
111年縣市議員選舉,臺南市第2選舉區,陳昆和,無,1961,4
111年縣市議員選舉,臺南市第3選舉區,郭秀珠,無黨團結聯盟,1959,5
111年縣市議員選舉,臺南市第3選舉區,吳通龍,民主進步黨,1956,6
111年縣市議員選舉,臺南市第3選舉區,陳秋宏,民主進步黨,1971,1
111年縣市議員選舉,臺南市第4選舉區,周奕齊,無,1988,1
111年縣市議員選舉,臺南市第5選舉區,林全忠,中國國民黨,1954,6
111年縣市議員選舉,臺南市第5選舉區,廖俊道,無,1973,1
111年縣市議員選舉,臺南市第5選舉區,陳碧玉,民主進步黨,1961,5
111年縣市議員選舉,臺南市第5選舉區,李偉智,民主進步黨,1970,3
111年縣市議員選舉,臺南市第5選舉區,王清崎,無,1960,8
111年縣市議員選舉,臺南市第6選舉區,郭信良,無,1963,4
111年縣市議員選舉,臺南市第6選舉區,李中岑,中國國民黨,1985,10
111年縣市議員選舉,臺南市第6選舉區,王錦德,民主進步黨,1957,14
111年縣市議員選舉,臺南市第6選舉區,童小芸,中國國民黨,1971,13
111年縣市議員選舉,臺南市第6選舉區,黃麗招,無,1957,5
111年縣市議員選舉,臺南市第6選舉區,林緯,無,1992,8
111年縣市議員選舉,臺南市第7選舉區,林易瑩,時代力量,1992,15
111年縣市議員選舉,臺南市第7選舉區,馬杰睿,無,1986,10
111年縣市議員選舉,臺南市第7選舉區,李鎮國,中國國民黨,1965,7
111年縣市議員選舉,臺南市第7選舉區,陳秋萍,民主進步黨,1964,1
111年縣市議員選舉,臺南市第7選舉區,林燕祝,中國國民黨,1965,3
111年縣市議員選舉,臺南市第7選舉區,陳世霖,無,1963,6
111年縣市議員選舉,臺南市第7選舉區,楊中成,台灣團結聯盟,1958,5
111年縣市議員選舉,臺南市第8選舉區,許至椿,中國國民黨,1960,6
111年縣市議員選舉,臺南市第8選舉區,沈震東,民主進步黨,1993,7
111年縣市議員選舉,臺南市第8選舉區,陳怡珍,民主進步黨,1981,3
111年縣市議員選舉,臺南市第8選舉區,邱莉莉,民主進步黨,1962,1
111年縣市議員選舉,臺南市第8選舉區,江明宗,台灣民眾黨,1954,2
111年縣市議員選舉,臺南市第8選舉區,李晉豪,無,1974,9
111年縣市議員選舉,臺南市第8選舉區,高凱旋,中國國民黨,1962,5
111年縣市議員選舉,臺南市第9選舉區,陳嘉伶,台灣基進,1992,4
111年縣市議員選舉,臺南市第9選舉區,盧崑福,中國國民黨,1965,1
111年縣市議員選舉,臺南市第9選舉區,莊玉珠,無,1960,9
111年縣市議員選舉,臺南市第9選舉區,呂維胤,民主進步黨,1981,10
111年縣市議員選舉,臺南市第9選舉區,李啓維,民主進步黨,1988,8
111年縣市議員選舉,臺南市第9選舉區,林美燕,中國國民黨,1959,2
111年縣市議員選舉,臺南市第9選舉區,周麗津,民主進步黨,1978,3
111年縣市議員選舉,臺南市第9選舉區,陳冠娟,小民參政歐巴桑聯盟,1979,5
111年縣市議員選舉,臺南市第9選舉區,李伯利,無,1980,7
111年縣市長選舉,宜蘭縣,陳秋境,無,1963,4
111年縣市長選舉,宜蘭縣,朱振東,天一黨,1953,2
111年縣市長選舉,宜蘭縣,林姿妙,中國國民黨,1952,1
111年縣市長選舉,宜蘭縣,江聰淵,民主進步黨,1969,5
111年縣市長選舉,花蓮縣,徐榛蔚,中國國民黨,1968,1
111年縣市長選舉,花蓮縣,黄師鵬,無,1957,2
111年縣市長選舉,金門縣,李應文,無,1979,1
111年縣市長選舉,金門縣,洪志恒,無,1968,6
111年縣市長選舉,金門縣,楊鎮浯,中國國民黨,1972,4
111年縣市長選舉,金門縣,林志錦,無,1972,3
111年縣市長選舉,南投縣,蔡培慧,民主進步黨,1971,1
111年縣市長選舉,南投縣,王永慶,無,1962,3
111年縣市長選舉,苗栗縣,宋國鼎,時代力量,1981,5
111年縣市長選舉,苗栗縣,徐定禎,民主進步黨,1961,4
111年縣市長選舉,苗栗縣,鍾東錦,無,1963,1
111年縣市長選舉,基隆市,蔡適應,民主進步黨,1973,3
111年縣市長選舉,基隆市,陳薇仲,時代力量,1990,2
111年縣市長選舉,基隆市,謝國樑,中國國民黨,1975,1
111年縣市長選舉,連江縣,李問,民主進步黨,1989,1
111年縣市長選舉,雲林縣,林佳瑜,NA,1959,3
111年縣市長選舉,雲林縣,劉建國,民主進步黨,1969,2
111年縣市長選舉,雲林縣,張麗善,中國國民黨,1964,1
111年縣市長選舉,新竹市,龔偉綸,無,1982,2
111年縣市長選舉,新竹市,林耕仁,中國國民黨,1960,3
111年縣市長選舉,新竹市,黃源甫,無,1954,1
111年縣市長選舉,新竹市,李驥羣,無,1956,4
111年縣市長選舉,新竹縣,范振揆,無,1971,2
111年縣市長選舉,新竹縣,黃秀龍,無,1960,1
111年縣市長選舉,新竹縣,周江杰,民主進步黨,1980,3
111年縣市長選舉,新竹縣,劉復嵐,無,1974,5
111年縣市長選舉,新竹縣,楊文科,中國國民黨,1951,4
111年縣市長選舉,嘉義縣,翁章梁,民主進步黨,1965,2
111年縣市長選舉,彰化縣,王惠美,中國國民黨,1968,1
111年縣市長選舉,彰化縣,黃秀芳,民主進步黨,1971,2
111年縣市長選舉,臺東縣,劉櫂豪,民主進步黨,1967,3
111年縣市長選舉,臺東縣,饒慶鈴,中國國民黨,1969,2
111年縣市長選舉,澎湖縣,陳光復,民主進步黨,1955,1
111年縣市長選舉,澎湖縣,賴峰偉,中國國民黨,1953,2
111年縣市長選舉,澎湖縣,葉竹林,無,1962,3
111年縣市議員選舉,宜蘭縣第10選舉區,李茂豐,中國國民黨,1957,2
111年縣市議員選舉,宜蘭縣第10選舉區,陳玉萍,無,1975,4
111年縣市議員選舉,宜蘭縣第10選舉區,陳金麟,中國國民黨,1954,1
111年縣市議員選舉,宜蘭縣第11選舉區,孫湯玉惠 aly saku,無,1967,1
111年縣市議員選舉,宜蘭縣第1選舉區,林麗,民主進步黨,1970,5
111年縣市議員選舉,宜蘭縣第1選舉區,莊淑如,中國國民黨,1978,10
111年縣市議員選舉,宜蘭縣第1選舉區,楊順木,正神名黨,1950,12
111年縣市議員選舉,宜蘭縣第1選舉區,林岳賢,中國國民黨,1974,17
111年縣市議員選舉,宜蘭縣第1選舉區,林錫明,無,1954,6
111年縣市議員選舉,宜蘭縣第1選舉區,黃定和,無,1958,13
111年縣市議員選舉,宜蘭縣第1選舉區,吳福田,民主進步黨,1949,7
111年縣市議員選舉,宜蘭縣第1選舉區,林正芳,時代力量,1963,8
111年縣市議員選舉,宜蘭縣第1選舉區,孫博萮,無,1978,14
111年縣市議員選舉,宜蘭縣第2選舉區,林詩穎,民主進步黨,1982,4
111年縣市議員選舉,宜蘭縣第2選舉區,簡英俊,無,1951,2
111年縣市議員選舉,宜蘭縣第2選舉區,賴良洲,中國國民黨,1963,3
111年縣市議員選舉,宜蘭縣第3選舉區,吳宏謀,民主進步黨,1950,3
111年縣市議員選舉,宜蘭縣第4選舉區,黃浴沂,中國國民黨,1952,2
111年縣市議員選舉,宜蘭縣第4選舉區,陳俊宇,民主進步黨,1975,1
111年縣市議員選舉,宜蘭縣第5選舉區,陳福山,無,1957,2
111年縣市議員選舉,宜蘭縣第5選舉區,黃建勇,中國國民黨,1958,1
111年縣市議員選舉,宜蘭縣第6選舉區,陳漢鍾,無,1971,3
111年縣市議員選舉,宜蘭縣第6選舉區,陳鴻禧,中國國民黨,1959,9
111年縣市議員選舉,宜蘭縣第6選舉區,劉添梧,民主進步黨,1948,5
111年縣市議員選舉,宜蘭縣第6選舉區,謝家倫,民主進步黨,1985,8
111年縣市議員選舉,宜蘭縣第6選舉區,黃琤婷,中國國民黨,1978,1
111年縣市議員選舉,宜蘭縣第6選舉區,呂惠卿,民主進步黨,1970,7
111年縣市議員選舉,宜蘭縣第6選舉區,林意評,台灣基進,1989,4
111年縣市議員選舉,宜蘭縣第6選舉區,謝志得,台灣民眾黨,1968,2
111年縣市議員選舉,宜蘭縣第7選舉區,簡松樹,民主進步黨,1965,3
111年縣市議員選舉,宜蘭縣第7選舉區,沈信雄,無,1967,1
111年縣市議員選舉,宜蘭縣第8選舉區,謝燦輝,民主進步黨,1958,1
111年縣市議員選舉,宜蘭縣第8選舉區,楊弘旻,中國國民黨,1970,6
111年縣市議員選舉,花蓮縣第10選舉區,高小成 Qaisul・Tamapima,中國國民黨,1963,1
111年縣市議員選舉,花蓮縣第10選舉區,金淑敏,中國國民黨,1964,2
111年縣市議員選舉,花蓮縣第1選舉區,韓林梅,中國國民黨,1965,7
111年縣市議員選舉,花蓮縣第1選舉區,林宗昆,中國國民黨,1983,4
111年縣市議員選舉,花蓮縣第1選舉區,蔡翼鍾,中國國民黨,1988,10
111年縣市議員選舉,花蓮縣第1選舉區,洪士閔,中國國民黨,1980,5
111年縣市議員選舉,花蓮縣第1選舉區,吳東昇,中國國民黨,1970,11
111年縣市議員選舉,花蓮縣第1選舉區,傅國淵,台灣民眾黨,1974,3
111年縣市議員選舉,花蓮縣第1選舉區,徐子芳,中國國民黨,1963,6
111年縣市議員選舉,花蓮縣第1選舉區,謝國榮,中國國民黨,1958,9
111年縣市議員選舉,花蓮縣第1選舉區,楊華美,無,1970,2
111年縣市議員選舉,花蓮縣第1選舉區,胡仁順,民主進步黨,1983,12
111年縣市議員選舉,花蓮縣第1選舉區,魏嘉賢,無,1978,8
111年縣市議員選舉,花蓮縣第2選舉區,邱光明,中國國民黨,1951,1
111年縣市議員選舉,花蓮縣第2選舉區,陳財能,民主進步黨,1965,3
111年縣市議員選舉,花蓮縣第3選舉區,陳慶元,時代力量,1949,5
111年縣市議員選舉,花蓮縣第3選舉區,張峻,無,1974,6
111年縣市議員選舉,花蓮縣第3選舉區,黃馨,中國國民黨,1954,13
111年縣市議員選舉,花蓮縣第3選舉區,蔡文隆,中國國民黨,1969,9
111年縣市議員選舉,花蓮縣第3選舉區,林源富,無,1974,15
111年縣市議員選舉,花蓮縣第3選舉區,徐雪玉,中國國民黨,1961,3
111年縣市議員選舉,花蓮縣第3選舉區,沈君茹,無,1962,14
111年縣市議員選舉,花蓮縣第3選舉區,吳建志,中國國民黨,1980,4
111年縣市議員選舉,花蓮縣第3選舉區,王能昌,無,1967,10
111年縣市議員選舉,花蓮縣第3選舉區,鄭乾龍,無,1964,11
111年縣市議員選舉,花蓮縣第3選舉區,張正治,中國國民黨,1966,12
111年縣市議員選舉,花蓮縣第4選舉區,陳飛廷,民主進步黨,1982,5
111年縣市議員選舉,花蓮縣第4選舉區,鍾素政,中國國民黨,1961,3
111年縣市議員選舉,花蓮縣第4選舉區,黃玲蘭,無,1963,2
111年縣市議員選舉,花蓮縣第4選舉區,詹金富,中國國民黨,1961,4
111年縣市議員選舉,花蓮縣第5選舉區,笛布斯・顗賚,無,1972,1
111年縣市議員選舉,花蓮縣第5選舉區,李正文,無,1965,5
111年縣市議員選舉,花蓮縣第5選舉區,陳進德,中國國民黨,1966,6
111年縣市議員選舉,花蓮縣第5選舉區,周駿宥,中國國民黨,1982,4
111年縣市議員選舉,花蓮縣第6選舉區,蔡依靜 Lamen・Panay,無,1983,4
111年縣市議員選舉,花蓮縣第6選舉區,賴國祥 O・SENG・KATI,無,1971,3
111年縣市議員選舉,花蓮縣第7選舉區,葉微琪,無,1970,4
111年縣市議員選舉,花蓮縣第7選舉區,哈尼・噶照 Hani Kacaw,無,1980,5
111年縣市議員選舉,花蓮縣第8選舉區,程美蓮,中國國民黨,1968,3
111年縣市議員選舉,花蓮縣第8選舉區,田韻馨,無,1976,2
111年縣市議員選舉,花蓮縣第8選舉區,連一龍,無,1974,1
111年縣市議員選舉,花蓮縣第9選舉區,吳香蘭 Hisa・Sakay,中國國民黨,1949,1
111年縣市議員選舉,花蓮縣第9選舉區,簡智隆,無,1977,2
111年縣市議員選舉,金門縣第1選舉區,楊霈璿,無,1994,4
111年縣市議員選舉,金門縣第1選舉區,董森堡,無,1978,15
111年縣市議員選舉,金門縣第1選舉區,石永城,無,1973,2
111年縣市議員選舉,金門縣第1選舉區,許玉昭,中國國民黨,1965,3
111年縣市議員選舉,金門縣第1選舉區,洪允典,中國國民黨,1952,9
111年縣市議員選舉,金門縣第1選舉區,胡凱宇,無,1986,16
111年縣市議員選舉,金門縣第1選舉區,李養生,無,1952,10
111年縣市議員選舉,金門縣第1選舉區,歐陽儀雄,中國國民黨,1973,1
111年縣市議員選舉,金門縣第1選舉區,唐麗輝,無,1957,11
111年縣市議員選舉,金門縣第1選舉區,翁文奧,無,1969,14
111年縣市議員選舉,金門縣第1選舉區,王碧珍,無,1959,12
111年縣市議員選舉,金門縣第2選舉區,林長鴻,中國國民黨,1967,11
111年縣市議員選舉,金門縣第2選舉區,周子傑,中國國民黨,1973,8
111年縣市議員選舉,金門縣第2選舉區,馬自壯,中國國民黨,1976,6
111年縣市議員選舉,金門縣第2選舉區,蔡水游,無,1957,10
111年縣市議員選舉,金門縣第2選舉區,吳金鏷,無,1966,3
111年縣市議員選舉,金門縣第2選舉區,王國代,中國國民黨,1970,5
111年縣市議員選舉,金門縣第3選舉區,洪成發,中國國民黨,1952,1
111年縣市議員選舉,金門縣第3選舉區,洪鴻斌,無,1969,3
111年縣市議員選舉,南投縣第1選舉區,曾振炎,無,1961,21
111年縣市議員選舉,南投縣第1選舉區,林憶如,中國國民黨,1976,3
111年縣市議員選舉,南投縣第1選舉區,王燕珠,無,1962,2
