時間戳記,您的學校位於哪個縣市？,您屬於下列哪個年齡層？,您使用頻率最高的手機應用程式為？,您使用頻率第二高的手機應用程式為？,您使用頻率第三高的手機應用程式為？,您使用頻率第四高的手機應用程式為？,您使用頻率第五高的手機應用程式為？
2020/12/31 下午 10:56:20,桃園市,15 歲以上 ～ 18 歲,messenger,ig,Youtube,Google,Line
2020/12/31 下午 11:02:54,雲林縣,15 歲以上 ～ 18 歲,Message,Facebook,Twitter,Line,Google
2020/12/31 下午 11:04:08,雲林縣,15 歲以上 ～ 18 歲,IG,youtube,messenger,抖音,WEBTOON
2020/12/31 下午 11:17:39,雲林縣,12 ～ 15 歲,Ig,Messenge,電話,Fb,Siri
2020/12/31 下午 11:18:30,雲林縣,12 ～ 15 歲,messenger,Instagram,Facebook,YouTube,Tiktok
2020/12/31 下午 11:18:45,雲林縣,15 歲以上 ～ 18 歲,YouTube,傳說對決,LINE,企鵝島,Messenger
2020/12/31 下午 11:24:21,雲林縣,15 歲以上 ～ 18 歲,FB,YouTube,Messenger,Instagram,Among us
2020/12/31 下午 11:25:54,雲林縣,15 歲以上 ～ 18 歲,youtube,Dcard,愛筆思畫X,英漢字典,跑跑薑餅人
2020/12/31 下午 11:32:49,雲林縣,15 歲以上 ～ 18 歲,IG,Zenly,Line,Tiktok,YouTube
2021/1/1 上午 12:17:00,雲林縣,15 歲以上 ～ 18 歲,抖音,youtube,messenger,IG,Google
2021/1/1 上午 12:56:11,雲林縣,15 歲以上 ～ 18 歲,youtube,Messenger,FB,IG,LINE
2021/1/1 上午 1:20:47,金門縣,15 歲以上 ～ 18 歲,GOOGLE,YOUTUBE ,TikTok,抖音,Instagram
2021/1/1 上午 6:43:53,雲林縣,15 歲以上 ～ 18 歲,地城邂逅~記憶憧憬,fd,Yt,Ig,X
2021/1/1 上午 8:28:42,高雄市,15 歲以上 ～ 18 歲,ig,youtube,line,fb,messager
2021/1/1 上午 8:30:50,雲林縣,15 歲以上 ～ 18 歲,IG,YouTube ,Google ,Podcast ,X
2021/1/1 上午 9:15:12,雲林縣,15 歲以上 ～ 18 歲,Facebook ,IG,傳說對決,皇室戰爭,Taiwan pay
2021/1/1 上午 10:00:08,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/1 下午 5:22:22,臺北市,15 歲以上 ～ 18 歲,ig,line,safari,相機,設定
2021/1/1 下午 5:34:35,臺南市,12 ～ 15 歲,FB,Pokémon go,Line,Messenger,YouTube
2021/1/1 下午 8:06:48,金門縣,15 歲以上 ～ 18 歲,IG,Youtube,FB,Line,Gmail
2021/1/1 下午 8:11:49,基隆市,12 ～ 15 歲,YouTube,Instagram ,Google,Facebook,MB3
2021/1/1 下午 8:13:41,基隆市,12 ～ 15 歲,YouTube,Google chrome ,Google play 商店,X,X
2021/1/1 下午 8:15:40,基隆市,12 ～ 15 歲,Youtube,Google Play,Facebook,TikTok,Yee Music
2021/1/1 下午 8:16:06,基隆市,12 ～ 15 歲,Instagram,抖音,Messenger,Fb,YouTube
2021/1/1 下午 8:20:02,基隆市,12 ～ 15 歲,YouTube ,PUBG mobile ,Google play 商店,Google ,chrome 
2021/1/1 下午 8:22:23,基隆市,12 ～ 15 歲,YouTube,Google,FB,Messenger,Instagram
2021/1/1 下午 8:49:44,基隆市,15 歲以上 ～ 18 歲,ig和相機,line,YouTube ,遊戲象棋,fb
2021/1/1 下午 8:53:55,基隆市,12 ～ 15 歲,Messenger,Ig,Line,Yee Music,傳說對決
2021/1/1 下午 8:57:51,基隆市,12 ～ 15 歲,Discord,Facebook,Messenger,抖音,Swag
2021/1/1 下午 9:01:58,基隆市,12 ～ 15 歲,free fire,fb,ig,抖音,pubg
2021/1/1 下午 9:04:22,基隆市,12 ～ 15 歲,facebook,Youtube,遊戲-傳說對決,IG,LINE
2021/1/1 下午 9:15:41,基隆市,12 ～ 15 歲,Fb,Messenge,Youtube,Instgeam,Kkbox
2021/1/1 下午 9:19:35,雲林縣,15 歲以上 ～ 18 歲,messager,Google,Ig,Youtube,Line
2021/1/1 下午 9:45:51,基隆市,12 ～ 15 歲,IG,LINE,Messenger,...,...
2021/1/1 下午 10:42:59,臺北市,12 ～ 15 歲,IG,WEBTOON,Youtube,奇蹟暖暖,Messenger
2021/1/1 下午 10:46:49,臺北市,12 ～ 15 歲,ig,Youtube,Free Fire,Fb,×
2021/1/1 下午 10:47:31,臺北市,12 ～ 15 歲,FB,IG,傳說對決,messenger ,Line 
2021/1/1 下午 10:47:32,臺北市,12 ～ 15 歲,Line ,傳說,Instagram ,TikTok,Capcut
2021/1/2 上午 12:13:37,臺北市,12 ～ 15 歲,賴,Ig,抖音,Fb,製作影片程式
2021/1/2 上午 8:57:52,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/2 下午 2:57:44,新北市,12 ～ 15 歲,Instagram ,message ,YouTube ,蝦皮,Facebook 
2021/1/2 下午 3:08:57,新北市,15 歲以上 ～ 18 歲,ig,mess,google,twitter,pinterest
2021/1/2 下午 3:42:35,連江縣,100,google,google chrome,google chrome pro,google chrome pro max,google chrome pro ultimate max
2021/1/2 下午 3:44:13,雲林縣,15 歲以上 ～ 18 歲,Message,Facebook,Line,Gmail,PUBG mobile
2021/1/2 下午 3:58:25,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/2 下午 4:13:48,基隆市,12 ～ 15 歲,IG,Message ,FB,YouTube ,Llne
2021/1/2 下午 4:14:05,基隆市,15 歲以上 ～ 18 歲,ig,messenger ,fb,line ,you tude
2021/1/2 下午 4:15:58,基隆市,15 歲以上 ～ 18 歲,IG,FB,YT,Vapp,Biliblil
2021/1/2 下午 4:33:29,基隆市,15 歲以上 ～ 18 歲,Instagram,YouTube,蝦皮,TikTok,X
2021/1/2 下午 4:34:11,基隆市,12 ～ 15 歲,Instagram ,Message , Facebook ,YouTube ,Line 
2021/1/2 下午 5:22:50,基隆市,12 ～ 15 歲,Youtube ,抖音,Ig ,Google ,蝦皮
2021/1/2 下午 7:27:07,臺北市,15 歲以上 ～ 18 歲,IG,safari ,Dcard,Line,Messenger 
2021/1/2 下午 7:37:14,臺北市,12 ～ 15 歲,PUBG,Line ,FB,IG,B站
2021/1/2 下午 7:44:13,臺北市,12 ～ 15 歲,IG,FB,Line,貓咪大戰爭（日版）,YouTube 
2021/1/2 下午 7:44:55,臺北市,15 歲以上 ～ 18 歲,動畫瘋,YouTube ,Instagram,Facebook,傳說對決
2021/1/2 下午 7:45:55,臺北市,15 歲以上 ～ 18 歲,Instagram,Line,快手,微博,Webtoon
2021/1/2 下午 7:45:55,新北市,12 ～ 15 歲,Instagram ,YouTube ,Line,傳說對決,TikTok
2021/1/2 下午 7:46:53,臺北市,15 歲以上 ～ 18 歲,部落衝突-皇室戰爭,Facebook,Instagram,YouTube ,Line
2021/1/2 下午 7:47:30,臺北市,15 歲以上 ～ 18 歲,Instagram ,Line,messenger ,傳說對決,PUBG
2021/1/2 下午 7:48:52,臺北市,15 歲以上 ～ 18 歲,ig,line ,fb,dcard ,x
2021/1/2 下午 7:49:24,臺北市,15 歲以上 ～ 18 歲,YouTube,LINE,第五人格,Chrome,IG
2021/1/2 下午 7:49:39,臺北市,15 歲以上 ～ 18 歲,荒野亂鬥,IG,QQ飛車,Youtube,FB
2021/1/2 下午 7:49:40,臺北市,12 ～ 15 歲,Ig,Youtube,Coin master,神來也麻將,Line
2021/1/2 下午 7:50:12,臺北市,15 歲以上 ～ 18 歲,Instagram,YouTube Music,Line,知識王,YouTube
2021/1/2 下午 7:50:13,臺北市,15 歲以上 ～ 18 歲,KKBOX ,Instagram ,Safari ,Line,Dcard
2021/1/2 下午 7:51:13,臺北市,15 歲以上 ～ 18 歲,Instagram ,Messager ,Facebook ,Line,Dcard
2021/1/2 下午 7:53:45,臺北市,15 歲以上 ～ 18 歲,Youtube,皇室戰爭,動畫瘋,Instagram,Spotify
2021/1/2 下午 7:56:25,新北市,12 ～ 15 歲,Ig,Fb,Line,抖音,Coin master
2021/1/2 下午 7:56:51,臺北市,15 歲以上 ～ 18 歲,Instagram ,Soundcorset節拍器,愛奇藝,line,spotify 
2021/1/2 下午 7:58:00,臺北市,15 歲以上 ～ 18 歲,Ig,抖音,Snow,Line,小紅書
2021/1/2 下午 8:00:20,臺北市,15 歲以上 ～ 18 歲,instagram,youtube,facebook,messenger,Line
2021/1/2 下午 8:00:46,新北市,15 歲以上 ～ 18 歲,google,youtube,messenger,荒野亂鬥,Tiktok
2021/1/2 下午 8:00:47,臺北市,15 歲以上 ～ 18 歲,Instagram,YouTube Music,Line,知識王,YouTube
2021/1/2 下午 8:01:03,臺北市,15 歲以上 ～ 18 歲,Messengers,Instagram ,Netflix ,Spotify,Dcard
2021/1/2 下午 8:01:25,新北市,12 ～ 15 歲,Youtube,Instagram,Webtoon,Google Chrome,Safari
2021/1/2 下午 8:02:00,臺北市,15 歲以上 ～ 18 歲,Ig,傳說對決,Line,Lol M,Yt
2021/1/2 下午 8:02:49,臺北市,12 ～ 15 歲,Instagram,WEBTOON,Dcard,X,X
2021/1/2 下午 8:02:59,臺北市,15 歲以上 ～ 18 歲,Instagram ,備忘錄,Google日曆,Google相簿,LINE
2021/1/2 下午 8:03:34,金門縣,15 歲以上 ～ 18 歲,IG,Messenger ,YouTube ,Google ,遊戲程式
2021/1/2 下午 8:04:36,臺北市,15 歲以上 ～ 18 歲,YouTube ,Brawl Stars,Instagram,Safari,Messenger
2021/1/2 下午 8:04:39,臺北市,15 歲以上 ～ 18 歲,YouTube ,Brawl Stars,Instagram,Safari,Messenger
2021/1/2 下午 8:08:08,臺北市,15 歲以上 ～ 18 歲,instagram,facebook,youtube,傳說對決,巴哈姆特動畫瘋
2021/1/2 下午 8:09:47,臺北市,15 歲以上 ～ 18 歲,facebook,youtube,ig,神魔之塔,googlr
2021/1/2 下午 8:10:43,臺北市,15 歲以上 ～ 18 歲,Instagram,YouTube ,Line ,傳說對決,Netflix
2021/1/2 下午 8:10:57,臺北市,15 歲以上 ～ 18 歲,哀居,YouTube ,Netflix ,Line,Mixerbox
2021/1/2 下午 8:11:32,臺北市,15 歲以上 ～ 18 歲,Instagram,Youtube,Twitter,Facebook,X
2021/1/2 下午 8:13:08,臺北市,15 歲以上 ～ 18 歲,Instagram,YouTube,Line,Facebook,Erudite字典
2021/1/2 下午 8:15:30,臺北市,15 歲以上 ～ 18 歲,愛動漫,動畫瘋,傳說對決,YouTube ,ig
2021/1/2 下午 8:17:50,臺北市,15 歲以上 ～ 18 歲,YouTube ,Netflix ,Instagram ,Google,Line
2021/1/2 下午 8:22:39,臺北市,15 歲以上 ～ 18 歲,wild rift,漫畫人,ig,line,youtube 
2021/1/2 下午 8:24:18,臺北市,15 歲以上 ～ 18 歲,IG,line,文件,YouTube,Facebook
2021/1/2 下午 8:24:55,臺北市,15 歲以上 ～ 18 歲,Instagram,Youtube,Line,Google日曆,提醒事項
2021/1/2 下午 8:25:01,臺北市,15 歲以上 ～ 18 歲,Instagram ,Facebook ,line,YouTube ,chrome 
2021/1/2 下午 8:31:27,臺北市,12 ～ 15 歲,google,nba,apple music,spotify,x
2021/1/2 下午 8:31:27,臺北市,15 歲以上 ～ 18 歲,Ig,Facebook ,全民打棒球,YouTube ,神魔之塔
2021/1/2 下午 8:32:09,臺北市,15 歲以上 ～ 18 歲,YouTube,Instagram,Facebook,第五人格,Line
2021/1/2 下午 8:34:06,臺北市,12 ～ 15 歲,Instagram ,Youtube,Line,傳說對決¯\_(ツ)_/¯,相機
2021/1/2 下午 8:34:23,臺北市,15 歲以上 ～ 18 歲,messenge,ig,yt,傳說對決,line
2021/1/2 下午 8:35:38,臺北市,12 ～ 15 歲,Instagram ,Youtube,小紅書,傳說對決(❍ᴥ❍ʋ),Mixerbox
2021/1/2 下午 8:38:32,臺北市,15 歲以上 ～ 18 歲,Instagram ,Line,YouTube ,YouTube Music ,Chrome 
2021/1/2 下午 8:48:12,臺北市,15 歲以上 ～ 18 歲,Instergram ,英雄聯盟,YouTube ,Line,FB
2021/1/2 下午 8:49:41,臺北市,15 歲以上 ～ 18 歲,Instagram,荒野亂鬥,Facebook,Line,Youtube
2021/1/2 下午 8:51:23,臺北市,15 歲以上 ～ 18 歲,Instagram,荒野亂鬥,Facebook,Line,Youtube
2021/1/2 下午 8:53:57,臺北市,15 歲以上 ～ 18 歲,FB,Line,Spotify,Ig,Cytus
2021/1/2 下午 8:59:42,臺北市,15 歲以上 ～ 18 歲,ig,fb,youtube, , 
2021/1/2 下午 9:02:21,臺北市,15 歲以上 ～ 18 歲,Instagram ,雲端硬碟,line,G-mail,傳說對決
2021/1/2 下午 9:04:23,臺北市,15 歲以上 ～ 18 歲,Instagram ,Line,Dcard,YouTube ,Safari 
2021/1/2 下午 9:24:15,臺北市,15 歲以上 ～ 18 歲,Instagram ,YouTube Music,Facebook,LINE,蝦皮購物
2021/1/2 下午 9:24:27,臺北市,15 歲以上 ～ 18 歲,IG,Line,Dcard,Webtoon,Youtube
2021/1/2 下午 9:25:25,臺北市,15 歲以上 ～ 18 歲,IG,遊戲,遊戲,漫畫網站,蝦皮
2021/1/2 下午 9:45:53,臺北市,15 歲以上 ～ 18 歲,Instagram,Line,Google chrome,Facebook,Google drive
2021/1/2 下午 9:52:54,臺北市,12 ～ 15 歲,IG,coin master,少女的王座,X,X
2021/1/2 下午 10:04:17,臺北市,12 ～ 15 歲,YouTube ,Instagram ,Line,KKBOX,X
2021/1/2 下午 10:05:57,臺北市,15 歲以上 ～ 18 歲,youtube ,safari ,LINE,Instagram ,Facebook 
2021/1/2 下午 10:10:11,臺北市,15 歲以上 ～ 18 歲,instagram,Line,Youtube,Chrome,Messenger
2021/1/2 下午 10:15:11,臺北市,15 歲以上 ～ 18 歲,傳說對決,動畫瘋,YouTube ,漫畫人,Line
2021/1/2 下午 10:27:07,臺北市,15 歲以上 ～ 18 歲,Instagram,Line,Tasks,Yee music,影音字典
2021/1/2 下午 10:30:53,基隆市,15 歲以上 ～ 18 歲,Facebook,YouTube,Messenger,Line,Instagram
2021/1/2 下午 10:36:52,臺北市,15 歲以上 ～ 18 歲,Safari,YouTube,Facebook ,Instagram ,Pinterest 
2021/1/2 下午 10:43:43,臺北市,12 ～ 15 歲,Instagram ,Messenger,Facebook,Line,Youtube
2021/1/2 下午 10:59:29,新竹市,15 歲以上 ～ 18 歲,youtube,FacebooK,Line,ig,Yt music
2021/1/2 下午 10:59:55,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/2 下午 11:37:08,臺北市,15 歲以上 ～ 18 歲,Line,Instagram,Messenger ,YouTube ,Facebook 
2021/1/2 下午 11:50:45,臺北市,12 ～ 15 歲,Instagram,Youtube,Twitter,Weverse,蝦皮購物
2021/1/2 下午 11:55:28,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/2 下午 11:59:55,臺北市,15 歲以上 ～ 18 歲,chrome ,wildrift,swag,Instagram ,youtube
2021/1/3 上午 12:27:17,新北市,20,line,FB,ig,kkbox ,鬧鐘
2021/1/3 上午 1:39:41,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/3 上午 7:47:43,臺北市,15 歲以上 ～ 18 歲,Netflix ,Instagram ,YouTube ,Line,WEBTOON 
2021/1/3 上午 7:49:04,臺北市,15 歲以上 ～ 18 歲,Netflix ,Instagram ,YouTube ,Line,WEBTOON 
2021/1/3 上午 8:49:32,臺北市,12 ～ 15 歲,Instagram,YouTube,Google Chrome,相簿,line
2021/1/3 上午 8:50:13,臺北市,15 歲以上 ～ 18 歲,Apple music,Ig,Chrome,Twitter,Google calendar
2021/1/3 上午 9:50:46,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/3 上午 11:30:54,臺北市,15 歲以上 ～ 18 歲,YouTube ,Instagram ,Line,Safari (iOS內建搜尋引擎，跟Google基本上一樣）,美男吸血鬼（乙女遊戲）
2021/1/3 上午 11:39:37,臺北市,15 歲以上 ～ 18 歲,ig,yt,fb,spotify,line
2021/1/3 下午 2:19:48,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/3 下午 2:25:04,臺北市,15 歲以上 ～ 18 歲,IG,YouTube ,Fat Secret,Apple Music ,Line
2021/1/3 下午 2:37:35,臺北市,15 歲以上 ～ 18 歲,Netflix ,Instagram ,荒野亂鬥,WEBTOON ,KKBOX 
2021/1/3 下午 4:38:59,臺北市,12 ～ 15 歲,fb,棒球殿堂,ig,Google,天氣
2021/1/3 下午 6:35:49,臺北市,15 歲以上 ～ 18 歲,Spotify,Youtube,Line,Instagram,Netflix
2021/1/3 下午 6:48:40,臺北市,15 歲以上 ～ 18 歲,YouTube ,IG,Line,知乎,FB
2021/1/4 上午 11:03:22,臺北市,15 歲以上 ～ 18 歲,Instagram ,StreetVoice ,YouTube ,Dcard,Pinterest 
2021/1/4 下午 12:35:27,金門縣,15 歲以上 ～ 18 歲,YOUTUBE ,IG,Message ,Line,蝦皮購物
2021/1/4 下午 2:19:53,新北市,12 ～ 15 歲,抖音,YouTube,Instagram,Dcard,Webtoon
2021/1/4 下午 4:27:19,新北市,12 ～ 15 歲,Instagram ,FB,Iine,YouTube ,傳說對決
2021/1/4 下午 4:33:56,新北市,15 歲以上 ～ 18 歲,ig,line,youtube ,wechat ,fb
2021/1/4 下午 4:34:11,新北市,15 歲以上 ～ 18 歲,YouTube,Ig,Music,Messenger,Google
2021/1/4 下午 4:34:13,新北市,12 ～ 15 歲,IG,Youtube,Line,Facebook,Messenger
2021/1/4 下午 4:34:16,新北市,15 歲以上 ～ 18 歲,Youtube,Safari,Instagram,Line,Facebook
2021/1/4 下午 4:34:16,新北市,15 歲以上 ～ 18 歲,YT,IG,Google,怪物彈珠,FB
2021/1/4 下午 4:34:18,新北市,15 歲以上 ～ 18 歲,YouTube ,Instagram ,Facebook ,line,知識王
2021/1/4 下午 4:34:28,新北市,15 歲以上 ～ 18 歲,Ig,YouTube,Message,跑跑卡丁車,傳說對決
2021/1/4 下午 4:34:28,新北市,15 歲以上 ～ 18 歲,Bilibili ,Line,X,X,X
2021/1/4 下午 4:34:33,新北市,15 歲以上 ～ 18 歲,Instagram,Discord,YouTube ,Safari,Facebook 
2021/1/4 下午 4:34:44,新北市,12 ～ 15 歲,IG,YouTube ,Line,Facebook,Messenger 
2021/1/4 下午 4:34:44,新北市,12 ～ 15 歲, I g,Yt,Netflix,Dcard ,FB
2021/1/4 下午 4:34:51,新北市,15 歲以上 ～ 18 歲,youtube,instagram ,message,怪物彈珠,崩壞3rd
2021/1/4 下午 4:34:54,新北市,15 歲以上 ～ 18 歲,搜書大師,BiliBili,Google Chrome,Call of Duty,鋼彈大亂鬥
2021/1/4 下午 4:34:57,新北市,15 歲以上 ～ 18 歲,Ig,絕地求生,YouTube,Dcard,蝦皮
2021/1/4 下午 4:34:58,新北市,12 ～ 15 歲,Instagram,Messenger,蝦皮購物,Youtube,Spotify 
2021/1/4 下午 4:35:14,新北市,15 歲以上 ～ 18 歲,Instagram ,Line,Safari,YouTube ,小紅書
2021/1/4 下午 4:35:15,新北市,15 歲以上 ～ 18 歲,ig,line,YouTube ,webtoon,fb
2021/1/4 下午 4:35:53,新北市,15 歲以上 ～ 18 歲,YouTube,Line,漫咖,Instagram,百聞牌
2021/1/4 下午 4:36:02,新北市,15 歲以上 ～ 18 歲,Line,Youtube,黑貓,Cytus ll,跑跑卡丁車
2021/1/4 下午 4:36:02,新北市,12 ～ 15 歲,instagram,Line,Spotify,Dcard,Messenger
2021/1/4 下午 4:36:16,新北市,15 歲以上 ～ 18 歲,Instagram,Line,Tiktok,蝦皮,Youtube
2021/1/4 下午 4:36:17,新北市,15 歲以上 ～ 18 歲,message,抖音,youtube,ig,音樂播放器
2021/1/4 下午 4:36:18,新北市,15 歲以上 ～ 18 歲,Instagram,Call of duty,Kkbox,Facebook,Line
2021/1/4 下午 4:36:21,新北市,15 歲以上 ～ 18 歲,Instagram,Facebook,YouTube,Chrome,Message
2021/1/4 下午 4:36:23,新北市,15 歲以上 ～ 18 歲,youtube,facebook,chrome,line,twitter
2021/1/4 下午 4:36:31,新北市,15 歲以上 ～ 18 歲,FB,原神impact,Youtube,荒野亂鬥,twitter
2021/1/4 下午 4:36:51,新北市,15 歲以上 ～ 18 歲,Mensenger,Line,IG,YouTube,Chrome
2021/1/4 下午 4:37:12,新北市,15 歲以上 ～ 18 歲,Youtube,遊戲-- 皇室戰爭,遊戲--神魔之塔,Instagram,facebook
2021/1/4 下午 4:37:35,新北市,12 ～ 15 歲,IG,line,youtube,荒野亂鬥,google
2021/1/4 下午 4:37:38,新北市,15 歲以上 ～ 18 歲,Discord,少女樂團派對（遊戲,愛筆思畫（繪圖軟體, Twitter,Instagram
2021/1/4 下午 4:37:42,新北市,15 歲以上 ～ 18 歲,Instagram,Call of Duty,Netflix,荒野亂鬥,Facebook
2021/1/4 下午 5:51:33,宜蘭縣,12 ～ 15 歲,Message,Facebook,Instagram,傳說對決,YouTube
2021/1/4 下午 6:10:58,新北市,15 歲以上 ～ 18 歲,Instagram,Line,Tiktok,蝦皮,Youtube
2021/1/4 下午 8:42:41,嘉義市,15 歲以上 ～ 18 歲,Youtube,IG,FB,messenger,Line
2021/1/4 下午 8:45:57,連江縣,99,抖音,ig,google,fb,Line
2021/1/4 下午 8:48:18,嘉義市,15 歲以上 ～ 18 歲,Instagram ,Facebook ,YouTube ,Chrome ,Line 
2021/1/4 下午 8:49:42,嘉義縣,12 ～ 15 歲,IG,Youtube,FB,Google Chrome,灌籃高手
2021/1/4 下午 8:49:51,嘉義縣,15 歲以上 ～ 18 歲,Yt,IG,Google,Fb,Line
2021/1/4 下午 8:52:23,嘉義市,15 歲以上 ～ 18 歲,YouTube,第五人格,X,X,X
2021/1/4 下午 8:59:27,嘉義市,12 ～ 15 歲,貓咪大戰爭,Youtube,Mixerbox,Instagram,Pokemon go
2021/1/4 下午 9:01:18,臺南市,15 歲以上 ～ 18 歲,YouTube,Google chrome,Instagram,Vpn,Facebook
2021/1/4 下午 9:14:24,臺南市,15 歲以上 ～ 18 歲,Instagram ,抖音,Messenger ,YouTube ,Facebook 
2021/1/4 下午 9:15:45,屏東縣,15 歲以上 ～ 18 歲,Google ,Instagram ,花舞宮廷,YouTube ,x
2021/1/4 下午 9:16:58,屏東縣,15 歲以上 ～ 18 歲,ig,messenger,fb,字典,YouTube 
2021/1/4 下午 9:30:57,桃園市,12 ～ 15 歲,Facebook ,Jptt,Ig,Line,Plurk
2021/1/4 下午 9:31:12,臺南市,15 歲以上 ～ 18 歲,萬國覺醒,Ig ,Line,Message ,孤膽車神5
2021/1/4 下午 9:40:39,嘉義市,15 歲以上 ～ 18 歲,Ig,Fb,Spotify,NETFLIX,Youtube
2021/1/4 下午 9:53:37,嘉義市,12 ～ 15 歲,Ig,Yt,Mixerbox ,Netflix ,LoL mobile
2021/1/4 下午 9:54:33,臺南市,15 歲以上 ～ 18 歲,IG,FB,Line Webtoon,X,X
2021/1/4 下午 9:55:10,嘉義市,15 歲以上 ～ 18 歲,Google,Fb,Youtube,Ig,Twitter
2021/1/4 下午 10:03:16,臺南市,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Messenger ,Line ,WEBTOON 
2021/1/4 下午 10:09:22,嘉義縣,15 歲以上 ～ 18 歲,swag,swag,Swag,Swag,Swag
2021/1/4 下午 10:27:08,臺南市,15 歲以上 ～ 18 歲,youtube,instagram ,messenger,google,twitter
2021/1/4 下午 10:36:46,嘉義市,15 歲以上 ～ 18 歲,instergram,youtube,Mixerbox,apple podcast,蝦皮購物
2021/1/4 下午 10:53:18,臺南市,15 歲以上 ～ 18 歲,Instagram ,YouTube ,音樂,Messenger ,Line
2021/1/4 下午 10:57:52,嘉義市,15 歲以上 ～ 18 歲,Instagram ,Facebook ,youtube,line,twitch
2021/1/4 下午 11:05:55,高雄市,12 ～ 15 歲,Messenger ,IG,Line,YouTube ,Tiktok
2021/1/4 下午 11:06:14,高雄市,12 ～ 15 歲,Messenger ,Ig,抖音,Youtube ,臉書
2021/1/4 下午 11:07:07,高雄市,15 歲以上 ～ 18 歲,Instagram,Ulike(美拍軟體),message(臉書私訊),YouTube,line
2021/1/5 上午 6:46:48,臺南市,15 歲以上 ～ 18 歲,YT,Google,Discord,X,X
2021/1/5 上午 8:54:46,金門縣,15 歲以上 ～ 18 歲,Ig,LINE,Facebook ,蝦皮,荒野行動
2021/1/5 上午 11:51:36,高雄市,15 歲以上 ～ 18 歲,Ig ,Message ,YouTube ,抖音,Line 
2021/1/5 上午 11:53:42,高雄市,15 歲以上 ～ 18 歲,safari,微博,小紅書,YouTube,instagram
2021/1/5 上午 11:54:30,高雄市,15 歲以上 ～ 18 歲,Instagram ,Line,Spotify,Meteor,Facebook
2021/1/5 上午 11:54:34,高雄市,15 歲以上 ～ 18 歲,Instagram ,YouTube ,Dcard ,Facebook ,TikTok 
2021/1/5 上午 11:55:06,高雄市,15 歲以上 ～ 18 歲,Instagram ,Line,Netflix ,YouTube ,Telegram 
2021/1/5 上午 11:55:06,高雄市,15 歲以上 ～ 18 歲,Ig,Ig,Ig,Ig,Ig
2021/1/5 上午 11:56:05,高雄市,15 歲以上 ～ 18 歲,colorDom,傳說對決,Instagram,YouTube,ENERGY
2021/1/5 上午 11:56:13,高雄市,15 歲以上 ～ 18 歲,YouTube ,line,fb,message ,webtoon
2021/1/5 上午 11:56:42,高雄市,15 歲以上 ～ 18 歲,Instagram ,LINE,蝦皮,傳說對決,X
2021/1/5 上午 11:57:01,高雄市,15 歲以上 ～ 18 歲,ig,Youtube,Line,Fb,抖音
2021/1/5 上午 11:59:14,高雄市,15 歲以上 ～ 18 歲,Instagram   ,Facebook ,line,messenger ,Netflix 
2021/1/5 下午 7:53:32,新北市,12 ～ 15 歲,唉居,Msg,YouTube ,Fb,抖音
2021/1/6 上午 9:58:09,高雄市,15 歲以上 ～ 18 歲,七大罪,死神,Ig,Messenger,Fb
2021/1/6 下午 1:31:21,臺中市,15 歲以上 ～ 18 歲,陰陽師,LINE,Ig,音樂,X
2021/1/6 下午 4:55:58,高雄市,12 ～ 15 歲,YouTube ,Webtoon,Facebook ,Ig,奇蹟暖暖
2021/1/6 下午 4:57:04,高雄市,12 ～ 15 歲,Instagram,Dcard,Yoytube,抖音,Facebook
2021/1/6 下午 4:58:10,高雄市,12 ～ 15 歲,Twitter,PUBG,Line,Messenger,蝦皮
2021/1/6 下午 4:58:35,高雄市,12 ～ 15 歲,YouTube,IG,FB,Messenger,twiiter
2021/1/6 下午 4:58:39,高雄市,12 ～ 15 歲,YouTube,遊戲,Google,FB,Message 
2021/1/6 下午 4:59:30,高雄市,12 ～ 15 歲,youtube ,傳說對決,line,Facebook ,Google 
2021/1/6 下午 4:59:51,高雄市,12 ～ 15 歲,Instagram ,Facebook ,youtybe,蝦皮購物,spotify
2021/1/6 下午 4:59:56,高雄市,12 ～ 15 歲,IG ,賴,臉書,蝦皮,傳說對決
2021/1/6 下午 5:00:42,高雄市,12 ～ 15 歲,You tube,抖音,傳說對決,IG,FB
2021/1/6 下午 5:01:53,高雄市,12 ～ 15 歲,IG,櫻花校園模擬器,Youtube,小紅書,相機
2021/1/6 下午 5:47:33,高雄市,12 ～ 15 歲,Instagram,Facebook,Messenger,王者榮耀,LINE
2021/1/6 下午 7:27:42,雲林縣,12 ～ 15 歲,Instagram,Facebook,Message,YouTube,Google
