"prvCode","cityCode","areaCode","liCode","deptCode","profRate"
63,0,1,"1",120,78.78
63,0,1,"2",120,79.25
63,0,1,"3",120,79.17
63,0,1,"4",120,80.3
63,0,1,"5",120,77.51
63,0,1,"6",120,77.54
63,0,1,"7",120,79.01
63,0,1,"8",120,78.69
63,0,1,"9",120,76.37
63,0,1,"10",120,76.29
63,0,1,"11",120,79.29
63,0,1,"12",120,80.15
63,0,1,"13",120,79.44
63,0,1,"14",120,79.7
63,0,1,"15",120,78.75
63,0,1,"16",120,77.18
63,0,1,"17",120,78.8
63,0,1,"18",120,77.56
63,0,1,"19",120,75.71
63,0,1,"20",120,76.87
63,0,1,"21",120,70.13
63,0,1,"22",120,76.29
63,0,1,"23",120,74.32
63,0,1,"24",120,76.78
63,0,1,"25",120,76.57
63,0,1,"26",120,71.23
63,0,1,"27",120,73.32
63,0,1,"28",120,75.53
63,0,1,"29",120,76.4
63,0,1,"30",120,78.3
63,0,1,"31",120,78.33
63,0,1,"32",120,76.64
63,0,1,"33",120,79.84
63,0,1,"34",120,77.85
63,0,1,"35",120,74.21
63,0,1,"36",120,77.19
63,0,1,"37",120,76.84
63,0,1,"38",120,76.13
63,0,1,"39",120,71.81
63,0,1,"40",120,75.67
63,0,1,"41",120,71.5
63,0,1,"42",120,72.68
63,0,1,"1",110,77.76
63,0,1,"2",110,77.17
63,0,1,"3",110,77.33
63,0,1,"4",110,77.9
63,0,1,"5",110,77.71
63,0,1,"6",110,76.11
63,0,1,"7",110,77.72
63,0,1,"8",110,76.18
63,0,1,"9",110,77.57
63,0,1,"10",110,78.25
63,0,1,"11",110,78.62
63,0,1,"12",110,77.11
63,0,1,"13",110,79.13
63,0,2,"14",110,77.37
63,0,2,"15",110,76.21
63,0,2,"16",110,76.16
63,0,2,"17",110,59.22
63,0,2,"18",110,78.99
63,0,2,"19",110,78.47
63,0,2,"20",110,79.55
63,0,2,"21",110,76.63
63,0,2,"22",110,79.82
63,0,2,"23",110,79.6
63,0,2,"24",110,79.47
63,0,2,"25",110,77.34
63,0,2,"26",110,74.94
63,0,2,"27",110,77.4
63,0,2,"28",110,78.2
63,0,2,"29",110,77.84
63,0,2,"30",110,80.13
63,0,2,"31",110,77.41
63,0,2,"32",110,75.57
63,0,2,"33",110,77.09
63,0,2,"34",110,79.03
63,0,2,"35",110,78.35
63,0,2,"36",110,78.13
63,0,2,"37",110,80.17
63,0,2,"38",110,76.56
63,0,2,"39",110,79.37
63,0,2,"40",110,79.98
63,0,2,"41",110,78.46
63,0,2,"42",110,79.79
63,0,2,"43",110,75.33
63,0,2,"44",110,72.39
63,0,2,"45",110,76.54
63,0,2,"46",110,75.38
63,0,2,"47",110,76.47
63,0,2,"48",110,79.89
63,0,2,"49",110,73.53
63,0,2,"50",110,75.6
63,0,2,"51",110,76.84
63,0,2,"1",100,76.49
63,0,2,"2",100,76.51
63,0,2,"3",100,76
63,0,2,"5",100,78.64
63,0,2,"6",100,77.62
63,0,2,"7",100,75.58
63,0,2,"8",100,77.82
63,0,2,"9",100,80.69
63,0,2,"10",100,80.14
63,0,2,"11",100,75.9
63,0,2,"12",100,77.6
63,0,2,"13",100,77.85
63,0,2,"14",100,78.1
63,0,2,"15",100,74.77
63,0,2,"16",100,76.68
63,0,2,"17",100,77.96
63,0,2,"18",100,73.5
63,0,2,"19",100,78.7
63,0,2,"20",100,62.25
63,0,2,"21",100,77.26
63,0,2,"22",100,79.62
63,0,2,"23",100,79.36
63,0,2,"24",100,78.53
63,0,2,"25",100,80.04
63,0,2,"26",100,79.69
NA,NA,3,NA,NA,76.04
NA,NA,3,NA,NA,71.91
NA,NA,3,NA,NA,72.83
NA,NA,3,NA,NA,74.9
NA,NA,3,NA,NA,71.64
NA,NA,3,NA,NA,72.41
NA,NA,3,NA,NA,72.62
NA,NA,3,NA,NA,75.74
NA,NA,3,NA,NA,73.31
NA,NA,3,NA,NA,74.79
NA,NA,3,NA,NA,71.14
NA,NA,3,NA,NA,73.78
NA,NA,3,NA,NA,77.6
NA,NA,3,NA,NA,78.54
63,0,3,"1",90,78.83
63,0,3,"2",90,76.98
63,0,3,"4",90,77.75
63,0,3,"3",90,76.38
63,0,3,"17",90,77.06
63,0,3,"18",90,79.74
63,0,3,"16",90,76.15
63,0,3,"5",90,76.86
63,0,3,"20",90,78.45
63,0,3,"7",90,77.96
63,0,3,"8",90,75.56
63,0,3,"9",90,58.89
63,0,3,"10",90,77.07
63,0,3,"6",90,76.35
63,0,3,"15",90,78.51
63,0,3,"12",90,77.89
63,0,3,"13",90,76.94
63,0,3,"14",90,76.56
63,0,3,"11",90,77.61
63,0,3,"19",90,75.26
NA,NA,3,NA,NA,77.64
NA,NA,3,NA,NA,76.03
NA,NA,3,NA,NA,80.27
NA,NA,3,NA,NA,75.03
NA,NA,3,NA,NA,77.3
NA,NA,3,NA,NA,76.84
NA,NA,3,NA,NA,76.26
NA,NA,3,NA,NA,77.34
63,0,3,"10",10,76.11
63,0,3,"11",10,76.9
63,0,3,"12",10,78.23
63,0,3,"13",10,77.38
63,0,3,"14",10,76.97
