"prv_code","city_code","area_code","li_code","dept_code","agree_ticket","agree_ticket_percent","disagree_ticket","disagree_ticket_percent","agree_to_votable","vote_result"
"10","005","00","0006","130",123,72.35,47,27.65,30.6,"N"
"10","005","00","0007","130",220,47.21,246,52.79,17.73,"N"
"10","005","00","0000","140",1513,71.81,594,28.19,24.67,"N"
"10","005","00","0001","140",185,80.43,45,19.57,31.09,"N"
"10","005","00","0002","140",152,78.35,42,21.65,26.95,"N"
"10","005","00","0003","140",198,70.97,81,29.03,25.06,"N"
"10","005","00","0004","140",152,74.15,53,25.85,24.24,"N"
"10","005","00","0005","140",130,71.82,51,28.18,26.97,"N"
"10","005","00","0006","140",91,60.67,59,39.33,20.4,"N"
"10","005","00","0007","140",218,69.43,96,30.57,25.03,"N"
"10","005","00","0008","140",242,71.18,98,28.82,21.76,"N"
"10","005","00","0009","140",145,67.76,69,32.24,22.45,"N"
"10","005","00","0000","150",2518,64.4,1392,35.6,23.46,"N"
"10","005","00","0001","150",524,69.5,230,30.5,26.07,"N"
"10","005","00","0002","150",126,72,49,28,28.51,"N"
"10","005","00","0003","150",251,66.76,125,33.24,25.9,"N"
"10","005","00","0004","150",792,65.78,412,34.22,23.89,"N"
"10","005","00","0005","150",124,68.13,58,31.87,25.89,"N"
"10","005","00","0006","150",126,65.63,66,34.38,25.98,"N"
"10","005","00","0007","150",246,56.55,189,43.45,19.65,"N"
"10","005","00","0008","150",181,62.2,110,37.8,21.62,"N"
"10","005","00","0009","150",148,49.17,153,50.83,15.69,"N"
"10","005","00","0000","160",1466,68.67,669,31.33,26.28,"N"
"10","005","00","0001","160",522,67.62,250,32.38,24.65,"N"
"10","005","00","0002","160",183,68.54,84,31.46,29.85,"N"
"10","005","00","0003","160",237,74.06,83,25.94,28.83,"N"
"10","005","00","0004","160",46,63.01,27,36.99,20.26,"N"
"10","005","00","0005","160",100,62.5,60,37.5,19.34,"N"
"10","005","00","0006","160",136,67.66,65,32.34,26,"N"
"10","005","00","0007","160",121,66.85,60,33.15,30.95,"N"
"10","005","00","0008","160",121,75.16,40,24.84,32.88,"N"
"10","005","00","0000","170",1026,72.56,388,27.44,27.13,"N"
"10","005","00","0001","170",82,88.17,11,11.83,25.47,"N"
