"prv_code","city_code","area_code","li_code","dept_code","agree_ticket","agree_ticket_percent","disagree_ticket","disagree_ticket_percent","agree_to_votable","vote_result"
10,"018","00","0028","020",1131,84.59,206,15.41,31.08,"Y"
10,"018","00","0029","020",1171,84.06,222,15.94,28.33,"Y"
10,"018","00","0030","020",567,83.02,116,16.98,35.77,"Y"
10,"018","00","0031","020",1287,87.31,187,12.69,37.92,"Y"
10,"018","00","0032","020",1608,83.06,328,16.94,31.72,"Y"
10,"018","00","0033","020",976,82.85,202,17.15,34.71,"Y"
10,"018","00","0034","020",1193,81.49,271,18.51,35.26,"Y"
10,"018","00","0036","020",1763,85.42,301,14.58,38.18,"Y"
10,"018","00","0037","020",1971,86.15,317,13.85,36.88,"Y"
10,"018","00","0038","020",1343,82.24,290,17.76,30.51,"Y"
10,"018","00","0039","020",1278,87.65,180,12.35,30.85,"Y"
10,"018","00","0040","020",1886,88.84,237,11.16,39.66,"Y"
10,"018","00","0041","020",2122,89.35,253,10.65,37.35,"Y"
10,"018","00","0042","020",2644,90.8,268,9.2,40.53,"Y"
10,"018","00","0043","020",1094,86.35,173,13.65,38.27,"Y"
10,"018","00","0044","020",512,86.63,79,13.37,33.23,"Y"
10,"018","00","0045","020",1405,91.29,134,8.71,42.6,"Y"
10,"018","00","0046","020",277,84.19,52,15.81,40.74,"Y"
10,"018","00","0047","020",300,84.51,55,15.49,30.74,"Y"
10,"018","00","0000","030",20785,82.63,4368,17.37,31.54,"Y"
10,"018","00","0001","030",759,73.9,268,26.1,28.11,"Y"
10,"018","00","0002","030",1623,79.56,417,20.44,29.68,"Y"
10,"018","00","0003","030",692,77.84,197,22.16,30.55,"Y"
10,"018","00","0004","030",623,76.35,193,23.65,26.54,"Y"
10,"018","00","0005","030",661,74.52,226,25.48,31.64,"Y"
10,"018","00","0006","030",1080,83.85,208,16.15,34.14,"Y"
10,"018","00","0007","030",1054,83.92,202,16.08,36.84,"Y"
10,"018","00","0008","030",1455,87.39,210,12.61,32.06,"Y"
10,"018","00","0009","030",1694,88.18,227,11.82,34.22,"Y"
10,"018","00","0010","030",1581,88.52,205,11.48,39.34,"Y"
10,"018","00","0011","030",1168,84.33,217,15.67,33.18,"Y"
10,"018","00","0012","030",1292,83.25,260,16.75,29.82,"Y"
10,"018","00","0013","030",804,77.23,237,22.77,28.47,"Y"
10,"018","00","0014","030",333,79.1,88,20.9,29.79,"Y"
10,"018","00","0015","030",635,82.79,132,17.21,29.77,"Y"
10,"018","00","0016","030",711,82.39,152,17.61,30.19,"Y"
10,"018","00","0017","030",207,79.01,55,20.99,22.8,"Y"
10,"018","00","0018","030",248,77.26,73,22.74,28.87,"Y"
10,"018","00","0019","030",249,84.69,45,15.31,32.59,"Y"
10,"018","00","0020","030",523,85.6,88,14.4,28.94,"Y"
10,"018","00","0021","030",1190,81.62,268,18.38,27.93,"Y"
10,"018","00","0022","030",423,77.9,120,22.1,28.8,"Y"
10,"018","00","0023","030",238,73.23,87,26.77,30.16,"Y"
10,"018","00","0024","030",1542,88.88,193,11.12,35.33,"Y"
