userid,user_reported_location,follower_count,following_count,account_language,tweet_count,mention,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,tweet_ratio,mention_ratio,length_avg,corpus
20e9e7bcf1b5805427cb3b92015f3974c408769417d37b7b6169a3819668dca1,0,1,49,0,14,10,0,0,0,0,0,0,0,0,0,0.5,0.0714285714285714,0.357142857142857,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,1,1.71428571428571,109.714285714286,0
05cae276d4b3dbad4202fd059f4d579b760ccfa826801ca16977e2ef0e6fafd1,0,188,175,0,602,216,0.112956810631229,0.0581395348837209,0,0,0,0,0,0,0,0,0.00166112956810631,0.119601328903654,0.0299003322259136,0.121262458471761,0.121262458471761,0.167774086378738,0.0647840531561462,0.00498338870431894,0.0166112956810631,0.00664451827242525,0.0498338870431894,0.0215946843853821,0.0664451827242525,0.0365448504983389,1,1.35880398671096,83.4069767441861,0
vuj3MBPHS4fz0ujTiKdA4zaVRgQUpuMUDs6WET2tbE=,0,4344,1284,0,15,1,0.0666666666666667,0,0,0,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0.0666666666666667,0.133333333333333,0.0666666666666667,0,0.133333333333333,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0,0.133333333333333,0,0.0666666666666667,0.933333333333333,1,84.5333333333333,1
1698376633,6,52,7,0,658,113,0.0227963525835866,0.0197568389057751,0.0455927051671733,0.0501519756838906,0.0501519756838906,0.0197568389057751,0.013677811550152,0.00151975683890578,0.00303951367781155,0.0379939209726444,0.0623100303951368,0.0501519756838906,0.0699088145896656,0.0957446808510638,0.0562310030395137,0.120060790273556,0.138297872340426,0.0987841945288754,0.0303951367781155,0,0,0,0,0.013677811550152,1,1.17173252279635,505.866261398176,0
842590706,0,94343,185,0,3240,0,0.0256172839506173,0.0287037037037037,0.0345679012345679,0.0391975308641975,0.0444444444444444,0.0487654320987654,0.0459876543209877,0.0475308641975309,0.0484567901234568,0.0506172839506173,0.0611111111111111,0.0734567901234568,0.0712962962962963,0.0765432098765432,0.0842592592592593,0.0700617283950617,0.0493827160493827,0.0388888888888889,0.0209876543209877,0.00833333333333333,0.0037037037037037,0.00246913580246914,0.00802469135802469,0.0175925925925926,0,0,83.9293209876543,0
462663253,0,20595,55,0,71,0,0,0.0422535211267606,0.225352112676056,0.0845070422535211,0.0140845070422535,0.0422535211267606,0.380281690140845,0.028169014084507,0.0704225352112676,0.0422535211267606,0,0,0.0140845070422535,0.0140845070422535,0,0,0,0,0.0422535211267606,0,0,0,0,0,1,1,129.87323943662,1
27cd624aa091ce88a9a11e2ea004e98a746886461536ca2a864d3c79d116c2d4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4752742142,0,22136,20991,0,795,118,0.191194968553459,0.488050314465409,0.149685534591195,0.0352201257861635,0.00251572327044025,0.00377358490566038,0.00628930817610063,0.0150943396226415,0.0113207547169811,0.020125786163522,0.00251572327044025,0.00628930817610063,0.0050314465408805,0.00251572327044025,0.00251572327044025,0.00377358490566038,0.00251572327044025,0.00377358490566038,0.00251572327044025,0.0138364779874214,0.00377358490566038,0.00125786163522013,0.0050314465408805,0.0213836477987421,0.291823899371069,0.318238993710692,159.666666666667,1
2234236436,6,348,27,0,3136,667,0.0133928571428571,0.0389030612244898,0.0411352040816327,0.024234693877551,0.060905612244898,0.0462372448979592,0.0462372448979592,0.0411352040816327,0.0691964285714286,0.0762117346938776,0.101084183673469,0.0794005102040816,0.0816326530612245,0.0376275510204082,0.038265306122449,0.048469387755102,0.0580357142857143,0.0404974489795918,0.00924744897959184,0.00701530612244898,0.00191326530612245,0.00127551020408163,0.0220025510204082,0.0159438775510204,1,1.21269132653061,50.8160076530612,0
2469384565,6,13,3,0,461,18,0.106290672451193,0.0824295010845987,0.06941431670282,0.0151843817787419,0.0390455531453362,0.0238611713665944,0.0585683297180043,0.06941431670282,0.0195227765726681,0.00867678958785249,0.101952277657267,0.0824295010845987,0.0650759219088937,0.119305856832972,0.0260303687635575,0.0585683297180043,0.00216919739696312,0.0130151843817787,0.0238611713665944,0.0108459869848156,0.00433839479392625,0,0,0,1,1.03904555314534,48.2104121475054,0
