userid,user_reported_location,follower_count,following_count,account_language,tweet_count,mention,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,tweet_ratio,mention_ratio,length_avg,corpus
155393676,0,184,517,0,2830,779,0.103180212014134,0.157243816254417,0.147349823321555,0.0777385159010601,0.0144876325088339,0.00212014134275618,0.00141342756183746,0.00141342756183746,0.00141342756183746,0.00141342756183746,0.00141342756183746,0.00176678445229682,0.00176678445229682,0.0254416961130742,0.0169611307420495,0.0455830388692579,0.0332155477031802,0.0416961130742049,0.023321554770318,0.034982332155477,0.0356890459363958,0.06113074204947,0.0915194346289753,0.0777385159010601,0.968197879858657,1.2434628975265,73.4455830388693,0
1100697013291831298,0,0,1,0,23,9,0,0,0.0434782608695652,0.956521739130435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.869565217391,1
16548484,121978,8143,71410,0,3199,559,0.0681462957174117,0.0593935604876524,0.0590809628008753,0.0856517661769303,0.074398249452954,0.0659581119099719,0.039699906220694,0.0121913097843076,0,0,0,0,0,0,0.000312597686777118,0,0.0190684588934042,0.0593935604876524,0.0878399499843701,0.0675211003438575,0.0759612378868396,0.0819005939356049,0.0722100656455142,0.0712722725851829,0,0,120.52860268834,0
19625943,0,3026,8167,0,3244,32,0.0434648581997534,0.0394574599260173,0.0194204685573366,0.0110974106041924,0.0160295930949445,0.0462392108508015,0.0459309494451295,0.0548705302096178,0.0194204685573366,0.0104808877928483,0.0141800246609125,0.0218865598027127,0.0409987669543773,0.0477805178791615,0.0511713933415536,0.062577065351418,0.0807644882860666,0.0693588162762022,0.0693588162762022,0.06288532675709,0.0511713933415536,0.0413070283600493,0.030826140567201,0.0493218249075216,0.156288532675709,0.156905055487053,110.117139334155,0
107839758,0,15903,1386,0,3204,282,0.034956304619226,0.0227840199750312,0.00936329588014981,0.0127965043695381,0.0268414481897628,0.00593008739076155,0.00436953807740325,0.00436953807740325,0.00624219725343321,0.0199750312109863,0.0374531835205993,0.0830212234706617,0.0873907615480649,0.114544319600499,0.0964419475655431,0.0499375780274657,0.0608614232209738,0.0568039950062422,0.0440074906367041,0.0352684144818976,0.0474406991260924,0.0561797752808989,0.0430711610486891,0.0399500624219725,1,1.08801498127341,111.810237203496,0
oOflfxvA6c2egaWDb4XgAc8+cie9OfJ3ZcYgpcjN0=,0,2,5,0,94,35,0.0531914893617021,0.117021276595745,0.180851063829787,0.0851063829787234,0.0106382978723404,0.148936170212766,0.074468085106383,0.0851063829787234,0.0319148936170213,0.0851063829787234,0.0106382978723404,0.0106382978723404,0.0319148936170213,0.0212765957446809,0,0.0319148936170213,0,0,0,0,0,0,0.0106382978723404,0.0106382978723404,0.829787234042553,1.08510638297872,107.648936170213,1
20dmzHkeBeqIbd52LzEI3DzfWfomWacz1ELFKy4ZeZI=,0,1,35,0,41,10,0.024390243902439,0.0487804878048781,0.195121951219512,0.292682926829268,0,0.0731707317073171,0.0731707317073171,0.146341463414634,0.0975609756097561,0.024390243902439,0,0,0,0.024390243902439,0,0,0,0,0,0,0,0,0,0,1,1.24390243902439,94,1
114865697,6,1298,720,0,3162,917,0.145161290322581,0.104364326375712,0.0483870967741935,0.0335230866540164,0.0183428209993675,0.000316255534471853,0,0,0,0,0,0,0.00094876660341556,0.00094876660341556,0,0.0113851992409867,0.0512333965844402,0.134724857685009,0.147691334598355,0.0702087286527514,0.0461733080328906,0.032258064516129,0.0480708412397217,0.106261859582543,1,1.29000632511069,74.4307400379507,0
34648528,0,43049,810,0,3223,349,0.0294756438101148,0.0238907849829352,0.0105491777846727,0.0124107973937325,0.00527458889233633,0.00310269934843314,0.000310269934843314,0,0,0,0.000310269934843314,0.00558485882717965,0.00713620850139622,0.0511945392491468,0.0986658392801738,0.124728513807012,0.089978281104561,0.0775674837108284,0.0834626124728514,0.0800496431895749,0.0772572137759851,0.106422587651257,0.0750853242320819,0.037542662116041,0.961216258144586,1.0695004654049,129.941669252249,0
2793570621,0,344,525,0,3018,1839,0.0695825049701789,0.0559973492379059,0.0702451954937044,0.0934393638170974,0.100066269052353,0.0719019218025182,0.06129887342611,0.115970841616965,0.0294897282968854,0.0377733598409543,0.0447316103379722,0.00861497680583168,0.0132538104705103,0.000662690523525514,0.00331345261762757,0.0172299536116634,0.00165672630881378,0.00695825049701789,0.0212060967528164,0.0821736249171637,0.0427435387673956,0.00331345261762757,0.0222001325381047,0.0261762756792578,1,1.60934393638171,138.197481776011,0
918707775970058241,0,0,0,0,519,395,0,0.0192678227360308,0.0404624277456647,0.10019267822736,0.319845857418112,0.38150289017341,0.138728323699422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.76107899807322,136.221579961464,1
85452649,0,19053617,14,0,1863,77,0.0542136339237788,0.0407944176060118,0.0375738056897477,0.0268384326355341,0.0300590445517982,0.0246913580246914,0.0332796564680623,0.0343531937734836,0.0466988727858293,0.0338164251207729,0.035426731078905,0.0311325818572195,0.0338164251207729,0.0365002683843264,0.0440150295222759,0.0611916264090177,0.0504562533548041,0.0547504025764895,0.0574342458400429,0.04723564143854,0.0348899624261943,0.0542136339237788,0.04723564143854,0.0493827160493827,1,1.04133118625872,61.1395598497048,0
1124368193362059266,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1
415343898,121636,2077,2474,0,2927,1606,0.0604714724974377,0.032114793303724,0.0324564400409976,0.0485138366928596,0.0368978476255552,0.01400751622822,0.00239152716091561,0.0017082336863683,0.00649128800819952,0.00239152716091561,0.00273317389818927,0.00307482063546293,0.0269900922446191,0.0485138366928596,0.0662794670310898,0.0556884181756064,0.0905363853775197,0.0806286299965835,0.0843867441065938,0.0635462931329006,0.0816535702084045,0.0420225486846601,0.0550051247010591,0.0614964127092586,1,1.5486846600615,129.244277417151,0
746020267785355264,0,12704,87,0,312,270,0.0416666666666667,0.365384615384615,0.166666666666667,0.211538461538462,0.0480769230769231,0,0.0480769230769231,0.0544871794871795,0.0192307692307692,0,0,0,0,0,0.00320512820512821,0,0.0288461538461538,0.00961538461538462,0,0,0,0,0.00320512820512821,0,0.823717948717949,1.60897435897436,122.801282051282,1
243067195,0,4605,45,0,3222,1,0.0555555555555556,0.095592799503414,0.0741775294847921,0.0769708255741775,0.0524518932340161,0.0148975791433892,0.00993171942892613,0.0127250155183116,0.0512104283054004,0.0102420856610801,0.0561762880198634,0.0102420856610801,0.0502793296089385,0.11731843575419,0.0484171322160149,0.0720049658597145,0.0772811918063315,0.00620732464307883,0.0124146492861577,0.0074487895716946,0.0536933581626319,0.0111731843575419,0.0102420856610801,0.0133457479826195,0,0,124.972377405338,0
414994878,6,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0.111111111111111,0,0,0,0,1,1,32.4444444444444,0
77769365,0,20414,11165,0,28,4,0.428571428571429,0.0357142857142857,0.0714285714285714,0,0.321428571428571,0,0.107142857142857,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,75.6071428571429,1
902818641288323072,0,0,63,0,9,0,0,0.111111111111111,0.111111111111111,0.555555555555556,0.222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,149.333333333333,1
839619279834267650,6,21004,59620,0,2924,2308,0.0235978112175103,0.0352257181942544,0.107729138166895,0.0461696306429549,0.0174418604651163,0.00170998632010944,0.00102599179206566,0.000683994528043776,0.000683994528043776,0.00102599179206566,0.135088919288646,0.108413132694938,0.024281805745554,0.0448016415868673,0.0523255813953488,0.0482216142270862,0.0369357045143639,0.0629274965800274,0.04890560875513,0.0519835841313269,0.0413816689466484,0.036593707250342,0.0417236662106703,0.0311217510259918,0,0,911.882694938441,0
