選舉類型,地區,姓名,當選註記,,,,,,
1994直轄市議員選舉,高雄市第05選區,陳田錨,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,羅志明,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,洪茂俊,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,林滴娟,*,,,,,,
1994直轄市議員選舉,高雄市第05選區,黃芳仁,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,顏寶琴,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,郭玟成,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,王青,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,蔡媽福,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,楊振添,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,蔡慶源,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,朱安雄,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,江振陸,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,朱文慶,*,,,,,,
1994直轄市議員選舉,高雄市第06選區,李復興,*,,,,,,
1994直轄市議員選舉,臺北市,李銀來,*,,,,,,
1994直轄市議員選舉,高雄市,高玉生,*,,,,,,
1998縣市議員選舉,屏東縣,陳惠琴,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,陳正德,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,魏憶龍,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,陳進棋,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,蔡秋凰,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,陳政忠,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,吳碧珠,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,陳雪芬,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,高建智,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,賴素如,*,,,,,,
1998直轄市議員選舉,臺北市第01選區,陳碧峰,*,,,,,,
1998直轄市議員選舉,臺北市第02選區,陳秀惠,*,,,,,,
1998直轄市議員選舉,臺北市第02選區,黃珊珊,*,,,,,,
1998直轄市議員選舉,臺北市第02選區,吳世正,*,,,,,,
1998直轄市議員選舉,臺北市第02選區,李彥秀,*,,,,,,
1998直轄市議員選舉,臺北市第02選區,陳義洲,*,,,,,,
1998直轄市議員選舉,臺北市第02選區,謝英美,*,,,,,,
1998直轄市議員選舉,臺北市第02選區,李建昌,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,許淵國,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,費鴻泰,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,陳孋輝,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,王正德,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,陳淑華,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,許富男,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,王博昱,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,陳永德,*,,,,,,
1998直轄市議員選舉,臺北市第03選區,楊實秋,*,,,,,,
1998直轄市議員選舉,臺北市第04選區,羅宗勝,*,,,,,,
1998直轄市議員選舉,臺北市第04選區,陳玉梅,*,,,,,,
1998直轄市議員選舉,臺北市第04選區,葉信義,*,,,,,,
1998直轄市議員選舉,臺北市第04選區,林晉章,*,,,,,,
1998直轄市議員選舉,臺北市第04選區,藍美津,*,,,,,,
1998直轄市議員選舉,臺北市第04選區,王世堅,*,,,,,,
1998直轄市議員選舉,臺北市第04選區,王浩,*,,,,,,
1998直轄市議員選舉,臺北市第05選區,段宜康,*,,,,,,
1998直轄市議員選舉,臺北市第05選區,龐建國,*,,,,,,
1998直轄市議員選舉,臺北市第05選區,鍾小平,*,,,,,,
1998直轄市議員選舉,臺北市第05選區,陳惠敏,*,,,,,,
1998直轄市議員選舉,臺北市第05選區,陳嘉銘,*,,,,,,
1998直轄市議員選舉,臺北市第05選區,李仁人,*,,,,,,
1998直轄市議員選舉,臺北市第05選區,顏聖冠,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,鄧家基,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,李新,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,江蓋世,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,陳錦祥,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,厲耿桂芳,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,柯景昇,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,周柏雅,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,李慶元,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,秦儷舫,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,蔣乃辛,*,,,,,,
1998直轄市議員選舉,臺北市第06選區,林奕華,*,,,,,,
1998直轄市議員選舉,高雄市第01選區,陳漢昇,*,,,,,,
1998直轄市議員選舉,高雄市第01選區,蕭裕正,*,,,,,,
1998直轄市議員選舉,高雄市第01選區,張省吾,*,,,,,,
1998直轄市議員選舉,高雄市第01選區,蔡松雄,*,,,,,,
1998直轄市議員選舉,高雄市第01選區,李喬如,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,陳萬達,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,張清泉,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,藍星木,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,藍健菖,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,楊色玉,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,陳雲龍,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,周鍾溢,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,黃石龍,*,,,,,,
1998直轄市議員選舉,高雄市第02選區,戴德銘,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,黃添財,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,吳重新,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,張榮顯,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,林永堅,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,梅再興,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,黃啟川,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,吳林淑敏,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,劉少春,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,曾長發,*,,,,,,
1998直轄市議員選舉,高雄市第03選區,蔡見興,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,王志雄,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,莊啟旺,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,陳春生,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,張瑞德,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,陳村雄,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,許崑源,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,黃芳仁,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,洪茂俊,*,,,,,,
1998直轄市議員選舉,高雄市第04選區,陳玲俐,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,朱安雄,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,王青,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,蔡媽福,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,簡金城,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,楊敏郎,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,朱文慶,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,蔡慶源,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,郭玟成,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,高宗英,*,,,,,,
1998直轄市議員選舉,高雄市第05選區,李復興,*,,,,,,
