議員,區域,value,關係,親屬姓名
藍凱元,澎湖縣,藍俊逸兒子,兒子,藍俊逸
闕枚莎,臺北市,謝英美女兒,女兒,謝英美
顏文章,高雄市,顏曉菁爸爸,爸爸,顏曉菁
顏世雄,新北市,林裔綺丈夫,丈夫,林裔綺
顏金成,屏東縣,章正輝大舅,大舅,章正輝
顏金成,屏東縣,宋賢一小舅,小舅,宋賢一
顏重慶,澎湖縣,顏嘉弘爸爸,爸爸,顏嘉弘
顏重慶,澎湖縣,張滿淑丈夫,丈夫,張滿淑
張滿淑,澎湖縣,顏嘉弘媽媽,媽媽,顏嘉弘
張滿淑,澎湖縣,顏重慶妻子,妻子,顏重慶
顏清標,臺中市,顏莉敏爸爸,爸爸,顏莉敏
顏莉敏,臺中市,顏清標女兒,女兒,顏清標
顏連復,嘉義縣,顏蔡淑惠岳父,岳父,顏蔡淑惠
顏嘉弘,澎湖縣,顏重慶兒子,兒子,顏重慶
顏嘉弘,澎湖縣,張滿淑兒子,兒子,張滿淑
顏榮燦,臺中市,顏萬金兒子,兒子,顏萬金
顏萬金,臺中市,顏榮燦爸爸,爸爸,顏榮燦
顏蔡淑惠,嘉義縣,顏連復媳婦,媳婦,顏連復
顏曉菁,高雄市,顏文章女兒,女兒,顏文章
魏秀珍,新竹市,施乃如伯母,伯母,施乃如
魏東河,花蓮縣,魏嘉賢爸爸,爸爸,魏嘉賢
魏東河,花蓮縣,魏嘉彥爸爸,爸爸,魏嘉彥
魏炎輝,宜蘭縣,吳秋齡丈夫,丈夫,吳秋齡
魏嘉彥,花蓮縣,魏嘉賢弟弟,弟弟,魏嘉賢
魏嘉彥,花蓮縣,魏東河兒子,兒子,魏東河
魏嘉賢,花蓮縣,魏嘉彥哥哥,哥哥,魏嘉彥
魏嘉賢,花蓮縣,魏東河兒子,兒子,魏東河
羅美玲,南投縣,吳棋祥妻子,妻子,吳棋祥
羅碧玉,苗栗縣,湯維岳小妻子,妻子,湯維岳
嚴亞美,臺東縣,嚴惠美姊姊,姊姊,嚴惠美
嚴惠美,臺東縣,嚴亞美妹妹,妹妹,嚴亞美
蘇于珊,雲林縣,陳河山妻子,妻子,陳河山
蘇文佐,澎湖縣,蘇陳綉色丈夫,丈夫,蘇陳綉色
蘇有仁,新北市,蘇泓欽爸爸,爸爸,蘇泓欽
蘇治洋,雲林縣,蘇洪月嬌女兒,女兒,蘇洪月嬌
蘇治洋,雲林縣,蘇東啟女兒,女兒,蘇東啟
蘇泓欽,新北市,蘇有仁兒子,兒子,蘇有仁
蘇金煌,雲林縣,蘇澤峰爸爸,爸爸,蘇澤峰
蘇金煌,雲林縣,蘇俊豪爸爸,爸爸,蘇俊豪
蘇金煌,雲林縣,陳盛龍姻親,姻親,陳盛龍
蘇俊豪,雲林縣,蘇金煌兒子,兒子,蘇金煌
蘇俊豪,雲林縣,陳盛龍姻親,姻親,陳盛龍
蘇俊豪,雲林縣,蘇澤峰哥哥,哥哥,蘇澤峰
蘇洪月嬌,雲林縣,蘇治洋媽媽,媽媽,蘇治洋
蘇洪月嬌,雲林縣,蘇東啟妻子,妻子,蘇東啟
蘇東啟,雲林縣,蘇治洋爸爸,爸爸,蘇治洋
蘇東啟,雲林縣,蘇洪月嬌丈夫,丈夫,蘇洪月嬌
蘇陳綉色,澎湖縣,蘇文佐妻子,妻子,蘇文佐
蘇澤峰,嘉義市,蘇金煌兒子,兒子,蘇金煌
蘇澤峰,嘉義市,陳盛龍外甥,外甥,陳盛龍
蘇澤峰,嘉義市,蘇俊豪弟弟,弟弟,蘇俊豪
