update_time,基隆市,新北市,臺北市,桃園市,宜蘭縣,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,臺東縣,花蓮縣,連江縣,澎湖縣,金門縣
2021-05-15,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2021-05-19,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
