學校名稱,學校體系,學位,系所名稱,在學學生人數,陸生人數,陸生所佔百分比,公私立
臺灣海洋大學,一般大學,博,海洋工程科技博士學位學程,8,5,62.5%,公立
政治大學,一般大學,博,傳播學院博士班,42,26,61.9%,公立
世新大學,一般大學,博,傳播博士學位學程,61,35,57.4%,私立
政治大學,一般大學,博,社會工作研究所,17,9,52.9%,公立
實踐大學,一般大學,博,管理學院創意產業博士班,25,13,52.0%,私立
東海大學,一般大學,博,社會工作學系,43,20,46.5%,私立
銘傳大學,一般大學,博,企業管理學系,39,17,43.6%,私立
中華大學,一般大學,博,工程科學博士學位學程,14,6,42.9%,私立
臺灣藝術大學,一般大學,博,傳播學院影音創作與數位媒體產業博士班,12,5,41.7%,公立
輔仁大學,一般大學,碩,品牌與時尚經營管理碩士學位學程,22,9,40.9%,私立
臺灣科技大學,技專校院,博,設計系,56,21,37.5%,公立
臺灣藝術大學,一般大學,博,表演藝術學院表演藝術博士班,22,8,36.4%,公立
輔仁大學,一般大學,碩,經濟學系,22,8,36.4%,私立
政治大學,一般大學,博,英國語文學系,26,9,34.6%,公立
政治大學,一般大學,博,社會學系,12,4,33.3%,公立
政治大學,一般大學,博,國際經營與貿易學系,6,2,33.3%,公立
清華大學,一般大學,博,台灣文學研究所,21,7,33.3%,公立
臺北藝術大學,一般大學,博,文化資源學院文化資產與藝術創新博士班,18,6,33.3%,公立
體育大學,一般大學,碩,國際運動教練科學碩士學位學程,3,1,33.3%,公立
輔仁大學,一般大學,博,音樂學系,33,11,33.3%,私立
靜宜大學,一般大學,碩,大眾傳播學系,3,1,33.3%,私立
義守大學,一般大學,碩,財務金融管理學系,12,4,33.3%,私立
銘傳大學,一般大學,博,應用中國文學系,35,11,31.4%,私立
輔仁大學,一般大學,碩,中國文學系,36,11,30.6%,私立
臺灣師範大學,一般大學,博,設計學系,23,7,30.4%,公立
大同大學,一般大學,博,設計科學研究所,80,24,30.0%,私立
政治大學,一般大學,博,應用數學系,7,2,28.6%,公立
東吳大學,一般大學,碩,歷史學系,14,4,28.6%,私立
中山醫學大學,一般大學,碩,醫學影像暨放射科學系,14,4,28.6%,私立
輔仁大學,一般大學,博,心理學系,39,11,28.2%,私立
政治大學,一般大學,博,國家發展研究所,32,9,28.1%,公立
清華大學,一般大學,博,科技管理研究所,29,8,27.6%,公立
成功大學,一般大學,博,法律學系,26,7,26.9%,公立
逢甲大學,一般大學,博,資訊工程學系,26,7,26.9%,私立
東吳大學,一般大學,碩,微生物學系,15,4,26.7%,私立
中原大學,一般大學,博,設計學博士學位學程,61,16,26.2%,私立
交通大學,一般大學,博,社會與文化研究所,46,12,26.1%,公立
東吳大學,一般大學,博,法律學系,27,7,25.9%,私立
政治大學,一般大學,博,統計學系,4,1,25.0%,公立
清華大學,一般大學,碩,亞際文化研究國際碩士學位學程(台灣聯合大學系統),8,2,25.0%,公立
臺灣大學,一般大學,碩,戲劇學系,32,8,25.0%,公立
銘傳大學,一般大學,碩,建築學系,16,4,25.0%,私立
元智大學,一般大學,博,文化產業與文化政策博士學位學程,21,5,23.8%,私立
淡江大學,一般大學,碩,大眾傳播學系,34,8,23.5%,私立
臺灣藝術大學,一般大學,博,書畫藝術學系,30,7,23.3%,公立
政治大學,一般大學,博,外交學系,13,3,23.1%,公立
清華大學,一般大學,博,語言學研究所,13,3,23.1%,公立
成功大學,一般大學,博,政治學系政治經濟學博士班,26,6,23.1%,公立
輔仁大學,一般大學,碩,景觀設計學系,26,6,23.1%,私立
清華大學,一般大學,碩,中國文學系,68,15,22.1%,公立
雲林科技大學,技專校院,博,設計學研究所,109,24,22.0%,公立
政治大學,一般大學,博,企業管理學系,51,11,21.6%,公立
體育大學,一般大學,博,運動科學研究所,14,3,21.4%,公立
輔仁大學,一般大學,碩,應用美術學系,52,11,21.2%,私立
政治大學,一般大學,碩,金融學系,90,19,21.1%,公立
清華大學,一般大學,博,社會學研究所,19,4,21.1%,公立
臺灣大學,一般大學,博,工業工程學研究所,19,4,21.1%,公立
成功大學,一般大學,碩,藝術研究所,48,10,20.8%,公立
政治大學,一般大學,博,政治學系,30,6,20.0%,公立
政治大學,一般大學,博,財務管理學系,10,2,20.0%,公立
政治大學,一般大學,博,金融學系,30,6,20.0%,公立
清華大學,一般大學,博,經濟學系,20,4,20.0%,公立
清華大學,一般大學,博,計量財務金融學系,5,1,20.0%,公立
成功大學,一般大學,博,財務金融研究所,5,1,20.0%,公立
中山大學,一般大學,博,財務管理學系,20,4,20.0%,公立
臺灣海洋大學,一般大學,博,海洋生物研究所,15,3,20.0%,公立
臺北大學,一般大學,博,公共行政暨政策學系,15,3,20.0%,公立
臺灣藝術大學,一般大學,博,創意產業設計研究所,25,5,20.0%,公立
金門大學,一般大學,碩,建築學系,20,4,20.0%,公立
玄奘大學,一般大學,碩,傳播學院碩士班,15,3,20.0%,私立
交通大學,一般大學,博,資訊管理與財務金融學系財務金融博士班,31,6,19.4%,公立
中山大學,一般大學,博,中國文學系,31,6,19.4%,公立
輔仁大學,一般大學,博,中國文學系,26,5,19.2%,私立
成功大學,一般大學,博,外國語文學系,21,4,19.0%,公立
交通大學,一般大學,碩,傳播研究所,63,12,19.0%,公立
輔仁大學,一般大學,碩,社會學系,21,4,19.0%,私立
輔仁大學,一般大學,碩,心理學系,74,14,18.9%,私立
清華大學,一般大學,博,歷史研究所,16,3,18.8%,公立
體育大學,一般大學,博,國際運動管理與創新博士學位學程,16,3,18.8%,公立
輔仁大學,一般大學,博,哲學系,48,9,18.8%,私立
元智大學,一般大學,學,藝術與設計學系,203,38,18.70%,私立
臺灣大學,一般大學,碩,哲學系,43,8,18.6%,公立
彰化師範大學,一般大學,博,輔導與諮商學系,43,8,18.6%,公立
輔仁大學,一般大學,碩,博物館學研究所,54,10,18.5%,私立
實踐大學,一般大學,碩,媒體傳達設計學系,49,9,18.4%,私立
臺灣師範大學,一般大學,博,東亞學系,11,2,18.2%,公立
暨南國際大學,一般大學,博,社會政策與社會工作學系,33,6,18.2%,公立
輔仁大學,一般大學,碩,歷史學系,33,6,18.2%,私立
逢甲大學,一般大學,博,環境工程與科學學系,11,2,18.2%,私立
佛光大學,一般大學,博,佛教學系,28,5,17.9%,私立
政治大學,一般大學,碩,傳播學院傳播碩士學位學程,243,43,17.7%,公立
金門大學,一般大學,碩,觀光管理學系,17,3,17.6%,公立
靜宜大學,一般大學,碩,財務金融學系,17,3,17.6%,私立
長庚大學,一般大學,博,企業管理研究所,34,6,17.6%,私立
臺北市立大學,一般大學,博,運動科學研究所,17,3,17.6%,公立
淡江大學,一般大學,博,資訊工程學系,23,4,17.4%,私立
義守大學,一般大學,博,電機工程學系,23,4,17.4%,私立
世新大學,一般大學,碩,廣播電視電影學系,115,20,17.4%,私立
政治大學,一般大學,碩,數位內容碩士學位學程,52,9,17.3%,公立
明道學校財團法人明道大學,一般大學,博,中國文學學系,29,5,17.2%,私立
成功大學,一般大學,博,工業設計學系,70,12,17.1%,公立
臺灣大學,一般大學,博,人類學系,18,3,16.7%,公立
成功大學,一般大學,博,創意產業設計研究所,36,6,16.7%,公立
成功大學,一般大學,碩,戲劇碩士學位學程,18,3,16.7%,公立
成功大學,一般大學,博,都市計劃學系,18,3,16.7%,公立
中山大學,一般大學,博,海洋科學系,12,2,16.7%,公立
高雄大學,一般大學,博,法學院博士班,12,2,16.7%,公立
輔仁大學,一般大學,碩,西班牙語文學系,18,3,16.7%,私立
崑山科技大學,技專校院,碩,空間設計系環境設計碩士班,12,2,16.7%,私立
亞洲大學,一般大學,博,數位媒體設計學系,49,8,16.3%,私立
臺灣大學,一般大學,碩,人類學系,43,7,16.3%,公立
中國文化大學,一般大學,博,建築及都市設計學系,37,6,16.2%,私立
清華大學,一般大學,碩,歷史研究所,31,5,16.1%,公立
朝陽科技大學,技專校院,博,建築系建築及都市設計博士班,25,4,16.0%,私立
體育大學,一般大學,博,體育研究所,69,11,15.9%,公立
東海大學,一般大學,碩,建築學系,63,10,15.9%,私立
政治大學,一般大學,博,風險管理與保險學系,19,3,15.8%,公立
輔仁大學,一般大學,博,跨文化研究所比較文學與跨文化研究博士班,38,6,15.8%,私立
東吳大學,一般大學,博,中國文學系,38,6,15.8%,私立
東吳大學,一般大學,博,經濟學系,19,3,15.8%,私立
中央大學,一般大學,碩,藝術學研究所,32,5,15.6%,公立
世新大學,一般大學,碩,新聞學系,32,5,15.6%,私立
清華大學,一般大學,碩,計量財務金融學系,45,7,15.6%,公立
政治大學,一般大學,博,經濟學系,13,2,15.4%,公立
政治大學,一般大學,博,日本研究博士學位學程,13,2,15.4%,公立
中山大學,一般大學,碩,中國文學系,65,10,15.4%,公立
中原大學,一般大學,博,化學工程學系,13,2,15.4%,私立
台南家專學校財團法人台南應用科技大學,技專校院,碩,室內設計系,13,2,15.4%,私立
中原大學,一般大學,博,商學博士學位學程,46,7,15.2%,私立
實踐大學,一般大學,碩,財務金融學系,20,3,15.0%,私立
南臺學校財團法人南臺科技大學,技專校院,碩,財務金融系,20,3,15.0%,私立
台南家專學校財團法人台南應用科技大學,技專校院,碩,視覺傳達設計系創新應用設計碩士班(碩在),20,3,15.0%,私立
法鼓學校財團法人法鼓文理學院,一般大學,博,佛教學系,20,3,15.0%,私立
臺灣大學,一般大學,碩,建築與城鄉研究所,122,18,14.8%,公立
政治大學,一般大學,碩,教育學系,41,6,14.6%,公立
臺灣大學,一般大學,碩,新聞研究所,96,14,14.6%,公立
臺中科技大學,技專校院,碩,多媒體設計系,55,8,14.5%,公立
臺北科技大學,技專校院,博,設計學院設計博士班,76,11,14.5%,公立
輔仁大學,一般大學,碩,大眾傳播學研究所,125,18,14.4%,私立
交通大學,一般大學,碩,聲音與音樂創意科技碩士學位學程,7,1,14.3%,公立
中央大學,一般大學,碩,亞際文化研究國際碩士學位學程(台灣聯合大學系統),14,2,14.3%,公立
中央大學,一般大學,博,中國文學系,35,5,14.3%,公立
中央大學,一般大學,博,財務金融學系,7,1,14.3%,公立
臺灣藝術大學,一般大學,博,美術學系當代視覺文化博士班,14,2,14.3%,公立
東海大學,一般大學,碩,經濟學系,14,2,14.3%,私立
淡江大學,一般大學,博,物理學系,7,1,14.3%,私立
淡江大學,一般大學,博,數學學系,7,1,14.3%,私立
長庚大學,一般大學,學,國際健康管理學士學位學程,14,2,14.30%,私立
義守大學,一般大學,博,管理學院管理博士班,28,4,14.3%,私立
世新大學,一般大學,碩,中國文學系,14,2,14.3%,私立
實踐大學,一般大學,碩,管理學院國際企業英語碩士學位學程,21,3,14.3%,私立
朝陽科技大學,技專校院,博,營建工程系,7,1,14.3%,私立
清華大學,一般大學,碩,經濟學系,50,7,14.0%,公立
交通大學,一般大學,碩,科技管理研究所,50,7,14.0%,公立
清華大學,一般大學,碩,台灣文學研究所,43,6,14.0%,公立
清華大學,一般大學,碩,社會學研究所,79,11,13.9%,公立
清華大學,一般大學,博,通訊工程研究所,29,4,13.8%,公立
政治大學,一般大學,博,中國文學系,66,9,13.6%,公立
政治大學,一般大學,博,公共行政學系,22,3,13.6%,公立
亞洲大學,一般大學,碩,視覺傳達設計學系,22,3,13.6%,私立
臺灣大學,一般大學,碩,中國文學系,81,11,13.6%,公立
臺北大學,一般大學,博,法律學系,37,5,13.5%,公立
陽明大學,一般大學,學,生命科學系暨基因體科學研究所,89,12,13.50%,公立
交通大學,一般大學,碩,資訊管理與財務金融學系財務金融碩士班,104,14,13.5%,公立
臺灣藝術大學,一般大學,碩,古蹟藝術修護學系,15,2,13.3%,公立
中原大學,一般大學,博,土木工程學系,15,2,13.3%,私立
義守大學,一般大學,碩,土木與生態工程學系,15,2,13.3%,私立
臺灣藝術大學,一般大學,博,藝術管理與文化政策研究所,38,5,13.2%,公立
臺灣師範大學,一般大學,博,運動休閒與餐旅管理研究所,23,3,13.0%,公立
嶺東科技大學,技專校院,碩,視覺傳達設計系,23,3,13.0%,私立
清華大學,一般大學,碩,跨院國際碩士學位學程,31,4,12.9%,公立
淡江大學,一般大學,博,英文學系,39,5,12.8%,私立
輔仁大學,一般大學,碩,資訊管理學系,47,6,12.8%,私立
交通大學,一般大學,碩,應用藝術研究所,79,10,12.7%,公立
政治大學,一般大學,碩,歷史學系,64,8,12.5%,公立
政治大學,一般大學,碩,輔導與諮商碩士學位學程,40,5,12.5%,公立
政治大學,一般大學,博,地政學系,16,2,12.5%,公立
政治大學,一般大學,博,財政學系,8,1,12.5%,公立
政治大學,一般大學,碩,神經科學研究所,8,1,12.5%,公立
臺灣大學,一般大學,碩,藝術史研究所,40,5,12.5%,公立
中央大學,一般大學,碩,認知神經科學研究所,16,2,12.5%,公立
樹德科技大學,技專校院,碩,應用設計研究所,56,7,12.5%,私立
東方學校財團法人東方設計大學,技專校院,博,文化創意設計研究所,32,4,12.5%,私立
金門大學,一般大學,學,建築學系,202,25,12.40%,公立
政治大學,一般大學,碩,國家發展研究所,73,9,12.3%,公立
逢甲大學,一般大學,學,美國加州聖荷西州立大學商學大數據分析雙學士學位學程,130,16,12.30%,私立
清華大學,一般大學,博,教育與學習科技學系,57,7,12.3%,公立
清華大學,一般大學,碩,外國語文學系,41,5,12.2%,公立
政治大學,一般大學,碩,幼兒教育研究所,33,4,12.1%,公立
臺灣師範大學,一般大學,博,華語文教學系,33,4,12.1%,公立
交通大學,一般大學,博,應用藝術研究所,33,4,12.1%,公立
體育大學,一般大學,博,競技與教練科學研究所,50,6,12.0%,公立
世新大學,一般大學,碩,性別研究所,50,6,12.0%,私立
銘傳大學,一般大學,碩,新媒體暨傳播管理碩士學位學程,67,8,11.9%,私立
臺灣大學,一般大學,博,生物產業傳播暨發展學系,17,2,11.8%,公立
中興大學,一般大學,博,中國文學系,34,4,11.8%,公立
輔仁大學,一般大學,碩,生物醫學暨藥學研究所,17,2,11.8%,私立
中山大學,一般大學,碩,哲學研究所,26,3,11.5%,公立
東海大學,一般大學,碩,國際經營與貿易學系,26,3,11.5%,私立
華梵大學,一般大學,博,東方人文思想研究所,52,6,11.5%,私立
銘傳大學,一般大學,碩,數位媒體設計學系,26,3,11.5%,私立
清華大學,一般大學,博,中國文學系,61,7,11.5%,公立
臺灣大學,一般大學,博,建築與城鄉研究所,35,4,11.4%,公立
成功大學,一般大學,碩,心理學系,44,5,11.4%,公立
臺灣大學,一般大學,碩,圖書資訊學系,53,6,11.3%,公立
輔仁大學,一般大學,碩,餐旅管理學系,89,10,11.2%,私立
清華大學,一般大學,博,教育心理與諮商學系,9,1,11.1%,公立
臺灣大學,一般大學,博,政治學系,36,4,11.1%,公立
成功大學,一般大學,博,統計學系,9,1,11.1%,公立
交通大學,一般大學,博,統計學研究所,9,1,11.1%,公立
臺灣科技大學,技專校院,博,數位學習與教育研究所,27,3,11.1%,公立
雲林科技大學,技專校院,博,財務金融系,18,2,11.1%,公立
中原大學,一般大學,碩,物理學系,18,2,11.1%,私立
中原大學,一般大學,碩,景觀學系,18,2,11.1%,私立
逢甲大學,一般大學,碩,都市計畫與空間資訊學系,36,4,11.1%,私立
政治大學,一般大學,碩,會計學系,147,16,10.9%,公立
中國文化大學,一般大學,碩,史學系,37,4,10.8%,私立
政治大學,一般大學,博,歷史學系,28,3,10.7%,公立
成功大學,一般大學,碩,經濟學系,28,3,10.7%,公立
東海大學,一般大學,碩,社會學系,28,3,10.7%,私立
成功大學,一般大學,博,建築學系,66,7,10.6%,公立
輔仁大學,一般大學,碩,營養科學系,38,4,10.5%,私立
世新大學,一般大學,博,行政管理學系,19,2,10.5%,私立
亞洲大學,一般大學,碩,數位媒體設計學系,19,2,10.5%,私立
政治大學,一般大學,碩,哲學系,48,5,10.4%,公立
清華大學,一般大學,碩,科技法律研究所,106,11,10.4%,公立
臺灣大學,一般大學,碩,公共事務研究所,58,6,10.3%,公立
成功大學,一般大學,碩,物理治療學系,29,3,10.3%,公立
中國文化大學,一般大學,碩,新聞學系,29,3,10.3%,私立
中原大學,一般大學,碩,土木工程學系,39,4,10.3%,私立
臺灣師範大學,一般大學,博,特殊教育學系,49,5,10.2%,公立
臺北藝術大學,一般大學,碩,電影創作學系,69,7,10.1%,公立
政治大學,一般大學,碩,宗教研究所,30,3,10.0%,公立
清華大學,一般大學,碩,英語教學系,30,3,10.0%,公立
清華大學,一般大學,博,統計學研究所,10,1,10.0%,公立
臺灣大學,一般大學,博,分子與細胞生物學研究所,10,1,10.0%,公立
彰化師範大學,一般大學,博,特殊教育學系,30,3,10.0%,公立
臺北大學,一般大學,博,企業管理學系,80,8,10.0%,公立
臺灣科技大學,技專校院,學,企業管理系,430,43,10.00%,公立
臺灣科技大學,技專校院,博,建築系,60,6,10.0%,公立
臺南大學,一般大學,博,電機工程學系,10,1,10.0%,公立
東吳大學,一般大學,博,政治學系,10,1,10.0%,私立
中國文化大學,一般大學,碩,都市計劃與開發管理學系,20,2,10.0%,私立
元智大學,一般大學,博,資訊管理學系,20,2,10.0%,私立
臺北科技大學,技專校院,學,經營管理系,275,27,9.80%,公立
銘傳大學,一般大學,學,新聞學系,265,26,9.80%,私立
中華大學,一般大學,博,科技管理博士學位學程,51,5,9.8%,私立
雲林科技大學,技專校院,學,創意生活設計系,227,22,9.70%,公立
臺灣大學,一般大學,碩,音樂學研究所,31,3,9.7%,公立
臺灣大學,一般大學,碩,口腔生物科學研究所,31,3,9.7%,公立
雲林科技大學,技專校院,碩,建築與室內設計系,62,6,9.7%,公立
輔仁大學,一般大學,碩,圖書資訊學系,31,3,9.7%,私立
東吳大學,一般大學,碩,哲學系,31,3,9.7%,私立
臺北市立大學,一般大學,博,競技運動訓練研究所,31,3,9.7%,公立
成功大學,一般大學,碩,創意產業設計研究所,52,5,9.6%,公立
政治大學,一般大學,博,教育學系,115,11,9.6%,公立
成功大學,一般大學,博,工業與資訊管理學系,21,2,9.5%,公立
交通大學,一般大學,博,管理科學系,21,2,9.5%,公立
臺北藝術大學,一般大學,碩,戲劇學系,21,2,9.5%,公立
元智大學,一般大學,博,電機工程學系,42,4,9.5%,私立
銘傳大學,一般大學,碩,會計學系,21,2,9.5%,私立
實踐大學,一般大學,碩,資訊科技與管理學系,21,2,9.5%,私立
逢甲大學,一般大學,學,澳洲墨爾本皇家理工大學商學與創新雙學士學位學程,127,12,9.40%,私立
中國文化大學,一般大學,學,景觀學系,255,24,9.40%,私立
政治大學,一般大學,博,宗教研究所,32,3,9.4%,公立
臺灣師範大學,一般大學,博,音樂學系,32,3,9.4%,公立
臺東大學,一般大學,博,兒童文學研究所,32,3,9.4%,公立
淡江大學,一般大學,碩,水資源及環境工程學系,32,3,9.4%,私立
淡江大學,一般大學,博,教育學院教育領導與科技管理博士班,43,4,9.3%,私立
雲林科技大學,技專校院,學,企業管理系,334,31,9.30%,公立
政治大學,一般大學,碩,統計學系,65,6,9.2%,公立
臺灣科技大學,技專校院,碩,設計系,174,16,9.2%,公立
政治大學,一般大學,碩,社會工作研究所,66,6,9.1%,公立
清華大學,一般大學,博,人類學研究所,11,1,9.1%,公立
清華大學,一般大學,碩,計算與建模科學研究所,22,2,9.1%,公立
臺灣大學,一般大學,碩,華語教學碩士學位學程,44,4,9.1%,公立
臺灣大學,一般大學,博,漁業科學研究所,11,1,9.1%,公立
交通大學,一般大學,碩,社會與文化研究所,33,3,9.1%,公立
東海大學,一般大學,博,社會學系,44,4,9.1%,私立
中國文化大學,一般大學,碩,資訊管理學系,11,1,9.1%,私立
世新大學,一般大學,博,中國文學系,22,2,9.1%,私立
臺灣師範大學,一般大學,碩,藝術史研究所,45,4,8.9%,公立
中央大學,一般大學,博,企業管理學系,79,7,8.9%,公立
成功大學,一般大學,博,中國文學系,34,3,8.8%,公立
成功大學,一般大學,碩,統計學系,34,3,8.8%,公立
高雄師範大學,一般大學,博,特殊教育學系特殊教育博士班,34,3,8.8%,公立
臺北大學,一般大學,碩,中國文學系,34,3,8.8%,公立
臺灣大學,一般大學,碩,地理環境資源學系,57,5,8.8%,公立
清華大學,一般大學,碩,語言學研究所,46,4,8.7%,公立
交通大學,一般大學,博,運輸與物流管理學系,23,2,8.7%,公立
臺北大學,一般大學,博,不動產與城鄉環境學系,23,2,8.7%,公立
輔仁大學,一般大學,博,宗教學系,46,4,8.7%,私立
輔仁大學,一般大學,碩,生命科學系,23,2,8.7%,私立
淡江大學,一般大學,碩,建築學系,46,4,8.7%,私立
臺灣師範大學,一般大學,博,人類發展與家庭學系,35,3,8.6%,公立
輔仁大學,一般大學,碩,國際經營管理碩士學位學程,35,3,8.6%,私立
輔仁大學,一般大學,博,法律學系,47,4,8.5%,私立
政治大學,一般大學,碩,日本研究碩士學位學程,36,3,8.3%,公立
政治大學,一般大學,博,圖書資訊與檔案學研究所,12,1,8.3%,公立
政治大學,一般大學,博,會計學系,12,1,8.3%,公立
臺灣大學,一般大學,博,音樂學研究所,12,1,8.3%,公立
臺灣大學,一般大學,碩,毒理學研究所,24,2,8.3%,公立
交通大學,一般大學,博,環境工程研究所,24,2,8.3%,公立
中央大學,一般大學,博,水文與海洋科學研究所,12,1,8.3%,公立
中正大學,一般大學,博,社會福利學系,24,2,8.3%,公立
雲林科技大學,技專校院,博,會計系,12,1,8.3%,公立
輔仁大學,一般大學,碩,哲學系,48,4,8.3%,私立
逢甲大學,一般大學,碩,財務金融學系,36,3,8.3%,私立
靜宜大學,一般大學,碩,企業管理學系,12,1,8.3%,私立
華梵大學,一般大學,碩,工業設計學系,12,1,8.3%,私立
實踐大學,一般大學,碩,企業管理學系,48,4,8.3%,私立
亞洲大學,一般大學,碩,創意商品設計學系,12,1,8.3%,私立
成功大學,一般大學,博,資訊工程學系,73,6,8.2%,公立
輔仁大學,一般大學,博,商學研究所,73,6,8.2%,私立
銘傳大學,一般大學,學,新媒體暨傳播管理學系,329,27,8.20%,私立
清華大學,一般大學,博,工業工程與工程管理學系,49,4,8.2%,公立
成功大學,一般大學,碩,歷史學系,50,4,8.0%,公立
東海大學,一般大學,博,法律學系,25,2,8.0%,私立
輔仁大學,一般大學,碩,織品服裝學系,150,12,8.0%,私立
淡江大學,一般大學,碩,資訊與圖書館學系,25,2,8.0%,私立
元智大學,一般大學,博,工業工程與管理學系,25,2,8.0%,私立
崑山科技大學,技專校院,碩,視訊傳播設計系媒體藝術碩士班,25,2,8.0%,私立
佛光大學,一般大學,碩,傳播學系,25,2,8.0%,私立
輔仁大學,一般大學,碩,企業管理學系管理學碩在,151,12,7.9%,私立
逢甲大學,一般大學,學,美國普渡大學電機資訊雙學士學位學程,63,5,7.90%,私立
政治大學,一般大學,碩,中國文學系,190,15,7.9%,公立
成功大學,一般大學,碩,醫學資訊研究所,38,3,7.9%,公立
高雄餐旅大學,技專校院,博,觀光研究所,38,3,7.9%,公立
淡江大學,一般大學,博,中國文學學系,38,3,7.9%,私立
交通大學,一般大學,碩,傳播與科技學系,51,4,7.8%,公立
中國文化大學,一般大學,博,體育學系運動教練博士班,64,5,7.8%,私立
世新大學,一般大學,碩,口語傳播學系,64,5,7.8%,私立
清華大學,一般大學,碩,體育學系,90,7,7.8%,公立
輔仁大學,一般大學,碩,體育學系,129,10,7.8%,私立
政治大學,一般大學,博,哲學系,26,2,7.7%,公立
政治大學,一般大學,博,心理學系,13,1,7.7%,公立
臺灣大學,一般大學,博,國家發展研究所,52,4,7.7%,公立
臺灣大學,一般大學,博,獸醫學系,26,2,7.7%,公立
中央大學,一般大學,博,學習與教學研究所,26,2,7.7%,公立
中央大學,一般大學,博,資訊管理學系,13,1,7.7%,公立
大同大學,一般大學,碩,媒體設計學系,13,1,7.7%,私立
臺灣大學,一般大學,碩,食品科技研究所,93,7,7.5%,公立
東吳大學,一般大學,碩,中國文學系,80,6,7.5%,私立
清華大學,一般大學,碩,數學系,67,5,7.5%,公立
臺灣大學,一般大學,碩,生化科學研究所,54,4,7.4%,公立
臺灣師範大學,一般大學,博,美術學系,108,8,7.4%,公立
臺北大學,一般大學,碩,國際企業研究所,27,2,7.4%,公立
東吳大學,一般大學,碩,政治學系,27,2,7.4%,私立
朝陽科技大學,技專校院,碩,建築系建築及都市設計碩士班,27,2,7.4%,私立
政治大學,一般大學,碩,經濟學系,95,7,7.4%,公立
臺灣大學,一般大學,碩,資訊網路與多媒體研究所,109,8,7.3%,公立
清華大學,一般大學,博,電子工程研究所,41,3,7.3%,公立
臺灣大學,一般大學,博,國際企業學系,41,3,7.3%,公立
交通大學,一般大學,碩,管理科學系,82,6,7.3%,公立
逢甲大學,一般大學,碩,土木工程學系,55,4,7.3%,私立
臺灣大學,一般大學,碩,歷史學系,83,6,7.2%,公立
臺北科技大學,技專校院,學,互動設計系,319,23,7.20%,公立
清華大學,一般大學,博,數學系,14,1,7.1%,公立
中央大學,一般大學,博,認知神經科學研究所,14,1,7.1%,公立
臺北大學,一般大學,博,都市計劃研究所,14,1,7.1%,公立
雲林科技大學,技專校院,碩,創意生活設計系,70,5,7.1%,公立
金門大學,一般大學,碩,國際暨大陸事務學系,14,1,7.1%,公立
東海大學,一般大學,碩,生命科學系,14,1,7.1%,私立
東吳大學,一般大學,碩,音樂學系,70,5,7.1%,私立
淡江大學,一般大學,碩,產業經濟學系,14,1,7.1%,私立
義守大學,一般大學,碩,大眾傳播學系,14,1,7.1%,私立
世新大學,一般大學,碩,社會心理學系,14,1,7.1%,私立
文藻學校財團法人文藻外語大學,技專校院,碩,國際事務碩士學位學程,14,1,7.1%,私立
金門大學,一般大學,學,都市計畫與景觀學系,155,11,7.10%,公立
臺灣師範大學,一般大學,碩,課程與教學研究所,57,4,7.0%,公立
中國文化大學,一般大學,碩,音樂學系,57,4,7.0%,私立
臺灣戲曲學院,技專校院,學,劇場藝術學系,157,11,7.00%,公立
中國文化大學,一般大學,碩,美術學系,72,5,6.9%,私立
臺灣大學,一般大學,碩,健康行為與社區科學研究所,29,2,6.9%,公立
成功大學,一般大學,碩,中國文學系,87,6,6.9%,公立
中央大學,一般大學,碩,中國文學系,58,4,6.9%,公立
臺北科技大學,技專校院,博,管理學院管理博士班,87,6,6.9%,公立
金門大學,一般大學,碩,企業管理學系,29,2,6.9%,公立
臺北商業大學,技專校院,碩,創意設計與經營研究所,29,2,6.9%,公立
中國文化大學,一般大學,碩,國際貿易學系,29,2,6.9%,私立
臺灣大學,一般大學,碩,社會學系,44,3,6.8%,公立
東華大學,一般大學,博,企業管理學系,59,4,6.8%,公立
清華大學,一般大學,碩,資訊系統與應用研究所,133,9,6.8%,公立
交通大學,一般大學,碩,電機工程學系,148,10,6.8%,公立
東海大學,一般大學,學,建築學系,178,12,6.70%,私立
臺灣大學,一般大學,碩,日本語文學系,45,3,6.7%,公立
臺灣大學,一般大學,碩,財務金融學系,150,10,6.7%,公立
臺灣大學,一般大學,碩,獸醫學系,30,2,6.7%,公立
臺灣大學,一般大學,博,藥學系,15,1,6.7%,公立
交通大學,一般大學,博,科技法律研究所,15,1,6.7%,公立
中央大學,一般大學,博,環境工程研究所,15,1,6.7%,公立
中正大學,一般大學,博,心理學系,15,1,6.7%,公立
中原大學,一般大學,學,商學院不分系,15,1,6.70%,私立
靜宜大學,一般大學,碩,國際企業學系,15,1,6.7%,私立
銘傳大學,一般大學,碩,醫療資訊與管理學系健康產業管理碩士班,15,1,6.7%,私立
南臺學校財團法人南臺科技大學,技專校院,碩,創新產品設計系,30,2,6.7%,私立
佛光大學,一般大學,碩,產品與媒體設計學系,15,1,6.7%,私立
實踐大學,一般大學,碩,工業產品設計學系,91,6,6.6%,私立
政治大學,一般大學,碩,風險管理與保險學系,76,5,6.6%,公立
臺灣大學,一般大學,碩,生物產業傳播暨發展學系,76,5,6.6%,公立
臺灣師範大學,一般大學,博,教育學系,76,5,6.6%,公立
臺灣大學,一般大學,碩,心理學系,122,8,6.6%,公立
樹德科技大學,技專校院,碩,金融管理系,61,4,6.6%,私立
