date.x,domain,title,url
2019-06-26,聯合新聞網,長榮限時辦護照 4小時200人報到 | 聯合新聞網,https://udn.com/news/story/13013/3893756?from=udn-hotnews_ch2
2019-06-26,聯合新聞網,7月航班公告「空服員想回來也沒得飛」 | 聯合新聞網,https://udn.com/news/story/13013/3893602?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,長榮空服罷工 6工會相挺 | 聯合新聞網,https://udn.com/news/story/13013/3893601?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,籲公司協商 工會明提調整新方案 | 聯合新聞網,https://udn.com/news/story/13013/3893599?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,長榮空服罷工有解？明後天關鍵 | 聯合新聞網,https://udn.com/news/story/13013/3893591?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,長榮罷工恐失敗收場？王浩宇貼網路聲量圖呈黃金交叉 | 聯合新聞網,https://udn.com/news/story/13013/3893479?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,最新！長榮7月初取消401航班 仍持續新增中 | 聯合新聞網,https://udn.com/news/story/13013/3893473?from=udn-hotnews_ch2
2019-06-26,聯合新聞網,長榮重辦空服員護照? 工會：譴責資方說法 | 聯合新聞網,https://udn.com/news/story/13013/3893459
2019-06-26,聯合新聞網,反制工會扣押三寶 長榮出新招「限4小時幫辦新護照」 | 聯合新聞網,https://udn.com/news/story/13013/3893314
2019-06-26,聯合新聞網,空服員工會盼資方盡速協商 明天提出調整新方案 | 聯合新聞網,https://udn.com/news/story/13013/3893297?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,影／長榮罷工第七天 工會信心喊話：握有2200份三寶證件 | 聯合新聞網,https://udn.com/news/story/13013/3893276?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,長榮罷工第7天 鄭文燦續盼勞資冷靜回到談判桌 | 聯合新聞網,https://udn.com/news/story/13013/3893257?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,影／六工會力挺長榮空服罷工 港龍空勤說這句話 | 聯合新聞網,https://udn.com/news/story/13013/3893183?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,因應長榮航要求 工會將與會員民主討論調整方案 | 聯合新聞網,https://udn.com/news/story/13013/3893176?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,桃空職工向長榮航釋善意 將開會討論調整八大訴求 | 聯合新聞網,https://udn.com/news/story/13013/3893156?from=udn-relatednews_ch2
2019-06-26,聯合新聞網,長榮公布航班取消狀況 官網已到7月7日 | 聯合新聞網,https://udn.com/news/story/13013/3893135
2019-06-26,聯合新聞網,長榮公布7月航班取消狀況 「空服想回來也沒得飛」 | 聯合新聞網,https://udn.com/news/story/13013/3893066
